N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
2,0,0.40662821221238477,,0.715498149394989,1.3060164345354457
2,1,0.6336145023148482,2.6438748836517334,,2.0350554347443413
3,0,0.36629395016713867,,0.3876311779022217,1.176470063861005
3,1,0.5178805515457441,1.6516624689102173,1.6448477506637573,1.6633388710662185
3,2,0.6761862105491544,2.969496965408325,,2.1717880787921966
4,0,0.34142648249882324,,0.1562444120645523,1.0966002454748287
4,1,0.4718299419259463,1.2739853858947754,1.2628397941589355,1.5154326235960627
4,2,0.5648427920634124,2.0701451301574707,2.053001880645752,1.8141731124607783
4,3,0.7023862125662841,3.2340078353881836,,2.2559377570279042
5,0,0.3233266468542205,,0.004448447376489639,1.0384668398126191
5,1,0.44360275742056543,1.0035606622695923,1.0182048082351685,1.4247720010482183
5,2,0.5176009457839448,1.7154687643051147,1.6780706644058228,1.6624408278190126
5,3,0.5954674282254533,2.2988390922546387,2.285513401031494,1.9125339170682156
5,4,0.7206090080338984,3.3812243938446045,,2.314466087451401
6,0,0.30966092381490096,,-0.08581603318452835,0.9945750036263018
6,1,0.42309704566758133,0.8854638338088989,0.8837094306945801,1.3589113555078247
6,2,0.48741786021292277,1.360548973083496,1.3109846115112305,1.5654982040244902
6,3,0.5483432428785654,1.9367754459381104,1.957271933555603,1.7611795381079465
6,4,0.6180592486122674,2.4281928539276123,2.4521219730377197,1.9850947670661034
6,5,0.7341391396658711,3.560523509979248,,2.357922428507134
7,0,0.29842662372641354,,-0.19464311003684998,0.9584924591657512
7,1,0.40735053741923666,0.7738924026489258,0.7765284776687622,1.3083364127437827
7,2,0.4655002810095829,1.187638759613037,1.163575530052185,1.4951028950294438
7,3,0.5171844521713345,1.7020257711410522,1.6674247980117798,1.6611031254987811
7,4,0.5712372709956508,2.075863838195801,2.077618360519409,1.8347110247968563
7,5,0.6358178901634575,2.585559606552124,2.60697078704834,2.0421323188746445
7,6,0.7453201895466256,3.6764919757843018,,2.393833942910367
8,0,0.2891877355171634,,-0.3017200231552124,0.9288188175547403
8,1,0.39366522948048305,0.6112661361694336,0.6189162731170654,1.264381673394917
8,2,0.4488348758616569,1.1223317384719849,1.096021294593811,1.441576621254778
8,3,0.4948250079902357,1.460827112197876,1.4306613206863403,1.5892886259373473
8,4,0.5407698749418715,1.8555384874343872,1.8554482460021973,1.736855247040459
8,5,0.5889157091849535,2.256816864013672,2.2498679161071777,1.8914909778810982
8,6,0.6498638705669977,2.7841765880584717,2.774397611618042,2.087245473090823
8,7,0.7549085545655704,3.685405731201172,,2.4246300409649852
9,0,0.28140086866309727,,-0.38797491788864136,0.903808806494224
9,1,0.3823458063017602,0.5729139447212219,0.5671302676200867,1.2280257289304635
9,2,0.4355175768045947,1.0339605808258057,1.0266783237457275,1.3988038600203403
9,3,0.47775504244873873,1.2957106828689575,1.2556484937667847,1.5344629771884486
9,4,0.5167378509828041,1.6443723440170288,1.6004250049591064,1.6596687230781269
9,5,0.5591487612056893,2.0115392208099365,2.029981851577759,1.7958849129320793
9,6,0.6041602275693443,2.2850847244262695,2.354179859161377,1.9404536197948696
9,7,0.6607890479433582,2.91725754737854,2.8756275177001953,2.1223351711865597
9,8,0.763217324091776,3.776885986328125,,2.4513163092220536
10,0,0.2740251843456763,,-0.45244818925857544,0.8801194395364147
10,1,0.37262810936276475,0.47389110922813416,0.4794340133666992,1.1968142400888235
10,2,0.4242620851836251,0.9832066893577576,0.9471569657325745,1.3626532521818353
10,3,0.46294342965750573,1.0811766386032104,1.0431163311004639,1.4868907499146016
10,4,0.4992822525123519,1.5310032367706299,1.5528734922409058,1.6036044909555531
10,5,0.5359196390555375,1.8845622539520264,1.8367373943328857,1.7212771646824716
10,6,0.5735877978160717,2.1474575996398926,2.1111867427825928,1.8422604927508472
10,7,0.6173470586348349,2.3557071685791016,2.408733606338501,1.982807341385584
10,8,0.6700556234101432,3.004957914352417,3.0108802318573,2.1520977392721283
10,9,0.7711623926576539,3.8271777629852295,,2.476834435630675
11,0,0.26782697842712944,,-0.5042890310287476,0.8602119206994555
11,1,0.36450434532691894,0.41428858041763306,0.403636634349823,1.1707221760793516
11,2,0.41435078818998106,0.7502496838569641,0.7729324102401733,1.330819954903141
11,3,0.45080179359554945,1.1233586072921753,1.1162983179092407,1.4478940060517316
11,4,0.4851440468220486,1.3954817056655884,1.3797770738601685,1.5581951257619386
