N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
2,0,0.33221182227134705,,-0.742753267288208,-0.6092412971142696
2,1,0.5783134698867798,-1.081130862236023,,-0.9894037050473159
3,0,0.28732237219810486,,-0.7632898092269897,-0.5333676716134366
3,1,0.4552024006843567,-0.9801347851753235,-0.8678976893424988,-0.8068001885743126
3,2,0.6232631802558899,-1.0020861625671387,,-1.0522978645804368
4,0,0.2593258023262024,,-0.7388943433761597,-0.4850266687763405
4,1,0.4050978422164917,-0.8664909601211548,-0.8239361643791199,-0.7281435535487546
4,2,0.5055218935012817,-1.0815551280975342,-0.9660155177116394,-0.8832675945980029
4,3,0.6511051058769226,-0.9645047783851624,,-1.090241282304346
5,0,0.23942643404006958,,-0.7125417590141296,-0.45019035942156727
5,1,0.3730745315551758,-0.8540907502174377,-0.8202826976776123,-0.6765567600627946
5,2,0.4559340178966522,-1.0247687101364136,-0.9779118895530701,-0.807930121455612
5,3,0.5371714234352112,-1.03889799118042,-0.972227931022644,-0.9300662777927169
5,4,0.6707068681716919,-0.8790692090988159,,-1.1164898848370441
6,0,0.22428441047668457,,-0.6979907155036926,-0.4234170725619322
6,1,0.3505495488643646,-0.8644723296165466,-0.855647623538971,-0.6396566046242245
6,2,0.42212554812431335,-0.8122274279594421,-0.8126871585845947,-0.7551561070590007
6,3,0.48827922344207764,-1.084357500076294,-1.0296592712402344,-0.8573501468615561
6,4,0.5603446364402771,-1.0713974237442017,-0.9842169880867004,-0.963696217086861
6,5,0.6859933137893677,-0.8568986654281616,,-1.1366932142968764
7,0,0.2116125375032425,,-0.6722533106803894,-0.4008351419922044
7,1,0.3324277698993683,-0.8659816384315491,-0.845879852771759,-0.6096014286986029
7,2,0.3976549804210663,-0.7073197960853577,-0.6986883282661438,-0.7162452191152933
7,3,0.45644208788871765,-1.1569781303405762,-1.1222413778305054,-0.8087144859793294
7,4,0.5117673873901367,-1.0324618816375732,-0.9858290553092957,-0.8925818453822103
7,5,0.5782955288887024,-0.9567170143127441,-0.887771487236023,-0.9893781984110728
7,6,0.6986345648765564,-0.8758970499038696,,-1.1532240021329851
8,0,0.2011583298444748,,-0.6287207007408142,-0.3820843228560403
8,1,0.3174932897090912,-0.8739235997200012,-0.8517048358917236,-0.5845855849130319
8,2,0.3796265721321106,-0.8777340650558472,-0.8755999207496643,-0.6871949771298329
8,3,0.4305691123008728,-0.8123012185096741,-0.8136749267578125,-0.7684433443679648
8,4,0.48045438528060913,-1.1405205726623535,-1.1335681676864624,-0.8454905623935343
8,5,0.5305894613265991,-0.9296634197235107,-0.8659892678260803,-0.9204163344177729
8,6,0.5930607914924622,-0.9776961803436279,-0.9090778827667236,-1.0102610317820915
8,7,0.7091494202613831,-0.8473753929138184,,-1.1668523903942383
9,0,0.19258780777454376,,-0.5819300413131714,-0.3666305836973852
9,1,0.30516281723976135,-0.9606326222419739,-0.940475583076477,-0.5637634619666687
9,2,0.3646431267261505,-0.8182199597358704,-0.8123293519020081,-0.6628039485179893
9,3,0.4099974036216736,-0.6242425441741943,-0.6221855282783508,-0.7359458717550904
9,4,0.45687997341156006,-1.1841213703155518,-1.1620657444000244,-0.8093902917708462
9,5,0.49872973561286926,-1.0188078880310059,-0.9949591159820557,-0.8730937966334973
9,6,0.5468535423278809,-0.9919370412826538,-0.9620984792709351,-0.944182686277486
9,7,0.6047350764274597,-0.9871820211410522,-0.8923403024673462,-1.0266178965240567
9,8,0.7177751064300537,-0.8331494331359863,,-1.17794966115477
10,0,0.18466030061244965,,-0.4816858768463135,-0.35227088791375916
10,1,0.2941925525665283,-0.9681200981140137,-0.9452621936798096,-0.5451104761402519
10,2,0.35114577412605286,-0.8323323130607605,-0.8331198692321777,-0.6406398709088132
10,3,0.3950032889842987,-0.8375284671783447,-0.819038987159729,-0.7119927788143907
10,4,0.4360571801662445,-0.8760510087013245,-0.8654693365097046,-0.7770414281452207
10,5,0.47581085562705994,-1.0927461385726929,-1.09038507938385,-0.8384237260878424
10,6,0.5143702030181885,-1.0620194673538208,-1.0329368114471436,-0.8964520531598907
10,7,0.5599727034568787,-1.0041810274124146,-0.9810727834701538,-0.9631606926053546
10,8,0.6154847145080566,-0.9660780429840088,-0.8473495244979858,-1.0415587121195813
10,9,0.7259289622306824,-0.7277898192405701,,-1.188371495358707
11,0,0.17808111011981964,,-0.4586479961872101,-0.3403057793488856
11,1,0.2846859395503998,-0.9276654720306396,-0.917787492275238,-0.5288488370119526
11,2,0.3398960828781128,-0.9270393252372742,-0.9184017181396484,-0.6220274921782831
11,3,0.3826058804988861,-0.8117693662643433,-0.7938699722290039,-0.6920181311016083
11,4,0.4177921712398529,-0.6349642276763916,-0.6204066276550293,-0.7483091933050505
11,5,0.4571572542190552,-1.2845351696014404,-1.2884529829025269,-0.8098181308955574
11,6,0.4910556375980377,-1.0472837686538696,-1.0467513799667358,-0.8615434555876678
11,7,0.5277590155601501,-0.9604631662368774,-0.9231382608413696,-0.9162532418677909
11,8,0.5713730454444885,-1.0627148151397705,-1.0372689962387085,-0.9795125123587223
11,9,0.6243417859077454,-0.9078735709190369,-0.8512505292892456,-1.0537822390002543
11,10,0.7331404089927673,-0.6982720494270325,,-1.1975333883364936
12,0,0.17218232154846191,,-0.4176280200481415,-0.32954126717001486
12,1,0.276386559009552,-0.9929632544517517,-0.9525142908096313,-0.5145783530185337
12,2,0.32983073592185974,-0.8423066735267639,-0.8326767086982727,-0.6052673146643417
12,3,0.3711443543434143,-0.865446150302887,-0.8683528304100037,-0.6734146428063337
12,4,0.404328316450119,-0.7077536582946777,-0.6879493594169617,-0.7269159391585442
12,5,0.4398162364959717,-0.9216110706329346,-0.9170214533805847,-0.7829133120492031
12,6,0.4726375639438629,-1.0679036378860474,-1.0814415216445923,-0.8335819944623313
12,7,0.5040150880813599,-1.01289963722229,-1.0042928457260132,-0.8810145716558893
12,8,0.5399041175842285,-0.9615027904510498,-0.9345878958702087,-0.9340600070762548
12,9,0.5809083580970764,-1.1109589338302612,-1.0695489645004272,-0.9930894559406322
12,10,0.632181704044342,-0.9530105590820312,-0.917633593082428,-1.06453655462448
12,11,0.7398049235343933,-0.6356907486915588,,-1.2059541846259219
13,0,0.16665807366371155,,-0.41863131523132324,-0.31942869056877354
13,1,0.26868754625320435,-0.9336585402488708,-0.8566699624061584,-0.5012785937506248
13,2,0.3209441900253296,-0.8630155324935913,-0.8543378114700317,-0.5903857934951517
13,3,0.36090394854545593,-0.8342879414558411,-0.8402753472328186,-0.6566820670530613
13,4,0.39367571473121643,-0.8496178984642029,-0.8397656083106995,-0.7098611452778658
13,5,0.42381370067596436,-0.56305992603302,-0.5302116870880127,-0.7578183749116008
13,6,0.4572574496269226,-1.3436094522476196,-1.3657575845718384,-0.8099727116341864
13,7,0.4858717620372772,-1.1315373182296753,-1.0969009399414062,-0.8537078395019502
13,8,0.5156474113464355,-0.8110079169273376,-0.7943109273910522,-0.898348696278731
13,9,0.5506518483161926,-0.9077317714691162,-0.9306055307388306,-0.9496949676053656
13,10,0.5888895988464355,-1.1172900199890137,-1.083383560180664,-1.0043837178781132
13,11,0.6393944025039673,-0.9838035702705383,-0.8792449235916138,-1.074376204031232
13,12,0.7460111975669861,-0.607970654964447,,-1.2137560416863078
14,0,0.16176675260066986,,-0.46468064188957214,-0.31044926407785656
14,1,0.2614583373069763,-0.8949958086013794,-0.8201646208763123,-0.48873644354028833
14,2,0.31326887011528015,-0.8913030624389648,-0.8872033953666687,-0.5774690477389082
14,3,0.3515866994857788,-0.784127414226532,-0.7600332498550415,-0.641366795343906
14,4,0.3841947019100189,-0.8233867287635803,-0.8077832460403442,-0.6945866193321737
14,5,0.4110211730003357,-0.5786628723144531,-0.576513946056366,-0.7375731436733854
14,6,0.44254976511001587,-1.0352516174316406,-1.0880621671676636,-0.7871743829205666
14,7,0.4703344702720642,-1.187276005744934,-1.146084189414978,-0.8300616835810768
14,8,0.4971641004085541,-1.068425178527832,-1.055415153503418,-0.8707421294495847
