N_DISC,T,estimated_epo
2,0.0,0.0788737
2,1.0,0.2667401
3,0.0,0.040700518
3,0.5,0.25128254
3,1.0,-0.7180314
4,0.0,0.04860008
4,0.3333333333333333,0.110363565
4,0.6666666666666666,0.28529084
4,1.0,-0.95524985
5,0.0,0.071172304
5,0.25,0.021890327
5,0.5,0.4028937
5,0.75,-0.012128394
5,1.0,-1.174869
6,0.0,0.081857905
6,0.2,-0.0067863064
6,0.4,0.20052712
6,0.6000000000000001,0.4329607
6,0.8,-0.25136176
6,1.0,-1.2097347
7,0.0,0.086097
7,0.16666666666666666,-0.029681332
7,0.3333333333333333,0.1726703
7,0.5,0.3513007
7,0.6666666666666666,0.37332132
7,0.8333333333333333,-0.4818507
7,1.0,-1.3063282
8,0.0,0.0908823
8,0.14285714285714285,-0.05084902
8,0.2857142857142857,0.0767463
8,0.42857142857142855,0.29331833
8,0.5714285714285714,0.50774944
8,0.7142857142857142,0.21332121
8,0.8571428571428571,-0.55573887
8,1.0,-1.2764155
9,0.0,0.08483054
9,0.125,-0.026763724
9,0.25,0.051209256
9,0.375,0.18727104
9,0.5,0.42506614
9,0.625,0.41941828
9,0.75,0.13316636
9,0.875,-0.6874863
9,1.0,-1.3395481
10,0.0,0.0860216
10,0.1111111111111111,-0.013808812
10,0.2222222222222222,0.025298797
10,0.3333333333333333,0.13356064
10,0.4444444444444444,0.30445588
10,0.5555555555555556,0.57111216
10,0.6666666666666666,0.30109853
10,0.7777777777777777,-0.08741508
10,0.8888888888888888,-0.75334144
10,1.0,-1.3618721
11,0.0,0.09468068
11,0.1,-0.0036155544
11,0.2,-0.029284185
11,0.30000000000000004,0.0971965
11,0.4,0.28348517
11,0.5,0.40280756
11,0.6000000000000001,0.4973939
11,0.7000000000000001,0.26376286
11,0.8,-0.27498454
11,0.9,-0.7796148
11,1.0,-1.3630096
12,0.0,0.09898227
12,0.09090909090909091,-0.0061766137
12,0.18181818181818182,-0.053709377
12,0.2727272727272727,0.08930653
12,0.36363636363636365,0.19914304
12,0.4545454545454546,0.35608113
12,0.5454545454545454,0.5382896
12,0.6363636363636364,0.39992848
12,0.7272727272727273,0.2083187
12,0.8181818181818182,-0.36311385
12,0.9090909090909092,-0.8162972
12,1.0,-1.4069272
13,0.0,0.11215493
13,0.08333333333333333,0.003358124
13,0.16666666666666666,-0.06603419
13,0.25,0.03729474
13,0.3333333333333333,0.12045077
13,0.41666666666666663,0.26138532
13,0.5,0.4145622
13,0.5833333333333333,0.5547959
13,0.6666666666666666,0.2896966
13,0.75,0.13461132
13,0.8333333333333333,-0.42418233
13,0.9166666666666666,-0.92236567
13,1.0,-1.4094568
14,0.0,0.115016945
14,0.07692307692307693,0.013808968
14,0.15384615384615385,-0.0823715
14,0.23076923076923078,0.046318002
14,0.3076923076923077,0.083130985
14,0.38461538461538464,0.30719692
14,0.46153846153846156,0.33988115
14,0.5384615384615385,0.45860562
14,0.6153846153846154,0.54686475
14,0.6923076923076923,0.2775046
14,0.7692307692307693,0.05259531
14,0.8461538461538463,-0.55086815
14,0.9230769230769231,-1.1799396
14,1.0,-1.2419027
15,0.0,0.11564272
15,0.07142857142857142,0.040316287
15,0.14285714285714285,-0.10472155
15,0.21428571428571427,-0.0062237508
15,0.2857142857142857,0.06480154
15,0.3571428571428571,0.21414396
15,0.42857142857142855,0.2397575
15,0.5,0.48744813
15,0.5714285714285714,0.6199197
15,0.6428571428571428,0.34106833
15,0.7142857142857142,0.25307894
15,0.7857142857142857,-0.09354725
15,0.8571428571428571,-0.63590497
15,0.9285714285714285,-1.1984365
15,1.0,-1.2462728
16,0.0,0.11337685
16,0.06666666666666667,0.041162714
16,0.13333333333333333,-0.087261096
16,0.2,-0.038186077
16,0.26666666666666666,0.120359406
16,0.3333333333333333,0.082882516
16,0.4,0.27437624
16,0.4666666666666667,0.35500944
16,0.5333333333333333,0.45290744
16,0.6,0.625599
16,0.6666666666666666,0.27545586
16,0.7333333333333333,0.20200506
16,0.8,-0.26083288
16,0.8666666666666667,-0.64922947
16,0.9333333333333333,-1.141626
16,1.0,-1.2969979
17,0.0,0.11374615
17,0.0625,0.05155031
17,0.125,-0.06214765
17,0.1875,-0.064975336
17,0.25,0.070805356
17,0.3125,0.061359935
17,0.375,0.26852292
17,0.4375,0.26416278
17,0.5,0.55972886
17,0.5625,0.53268063
17,0.625,0.4876489
17,0.6875,0.27515742
17,0.75,0.10674198
17,0.8125,-0.3311218
17,0.875,-0.6645231
17,0.9375,-1.1245968
17,1.0,-1.3409102
18,0.0,0.116550796
18,0.058823529411764705,0.038857877
18,0.11764705882352941,-0.046319723
18,0.1764705882352941,-0.042999186
18,0.23529411764705882,-0.005076897
18,0.29411764705882354,0.08703451
18,0.3529411764705882,0.25032467
18,0.4117647058823529,0.2420543
18,0.47058823529411764,0.33968014
18,0.5294117647058824,0.5241656
18,0.5882352941176471,0.5856607
18,0.6470588235294118,0.3280434
18,0.7058823529411764,0.2775615
18,0.7647058823529411,-0.009173274
18,0.8235294117647058,-0.40038937
18,0.8823529411764706,-0.737809
18,0.9411764705882353,-1.0995538
18,1.0,-1.3317606
19,0.0,0.11481896
19,0.05555555555555555,0.047996804
19,0.1111111111111111,-0.030992262
19,0.16666666666666666,-0.067146465
19,0.2222222222222222,0.0216269
19,0.2777777777777778,0.1173328
19,0.3333333333333333,0.06881502
19,0.38888888888888884,0.34016478
19,0.4444444444444444,0.1834272
19,0.5,0.5547323
19,0.5555555555555556,0.4598456
19,0.611111111111111,0.65759647
19,0.6666666666666666,0.26958716
19,0.7222222222222222,0.2675165
19,0.7777777777777777,-0.014198003
19,0.8333333333333333,-0.5174312
19,0.8888888888888888,-0.7574189
19,0.9444444444444444,-1.1250473
19,1.0,-1.3205343
20,0.0,0.113357924
20,0.05263157894736842,0.05809793
20,0.10526315789473684,-0.012984035
20,0.15789473684210525,-0.083322674
20,0.21052631578947367,-0.02443634
20,0.2631578947368421,0.112762
20,0.3157894736842105,0.038643647
20,0.3684210526315789,0.23999606
20,0.42105263157894735,0.33522958
20,0.47368421052631576,0.35440493
20,0.5263157894736842,0.51320636
20,0.5789473684210527,0.5873033
20,0.631578947368421,0.37505636
20,0.6842105263157894,0.28214496
20,0.7368421052631579,0.21049432
20,0.7894736842105263,-0.11043881
20,0.8421052631578947,-0.51026976
20,0.894736842105263,-0.94766736
20,0.9473684210526315,-1.05839
20,1.0,-1.3262113
21,0.0,0.11256274
21,0.05,0.071183234
21,0.1,-0.001029006
21,0.15000000000000002,-0.10996115
21,0.2,-0.03971114
21,0.25,0.07602483
21,0.30000000000000004,0.044655036
21,0.35000000000000003,0.21225286
21,0.4,0.27237898
21,0.45,0.23344675
21,0.5,0.6584382
21,0.55,0.41816378
21,0.6000000000000001,0.7026943
21,0.65,0.29672095
21,0.7000000000000001,0.2467511
21,0.75,0.13600786
21,0.8,-0.1666389
21,0.8500000000000001,-0.5370339
21,0.9,-0.97716343
21,0.9500000000000001,-1.3147401
21,1.0,-1.169501
22,0.0,0.11759914
22,0.047619047619047616,0.06701046
22,0.09523809523809523,-0.0025493493
22,0.14285714285714285,-0.0922926
22,0.19047619047619047,-0.041623183
22,0.23809523809523808,0.01936181
22,0.2857142857142857,0.13723047
22,0.3333333333333333,0.10275693
22,0.38095238095238093,0.25837675
22,0.42857142857142855,0.36123577
22,0.47619047619047616,0.3557133
22,0.5238095238095237,0.5459474
22,0.5714285714285714,0.5011497
22,0.6190476190476191,0.57917094
22,0.6666666666666666,0.24189118
22,0.7142857142857142,0.27278787
22,0.7619047619047619,-0.05284197
22,0.8095238095238095,-0.3100511
22,0.8571428571428571,-0.5635674
22,0.9047619047619047,-0.9964256
22,0.9523809523809523,-1.2974689
22,1.0,-1.1711228
23,0.0,0.10739397
23,0.045454545454545456,0.06767761
23,0.09090909090909091,0.044331085
23,0.13636363636363635,-0.092683785
23,0.18181818181818182,-0.025717972
23,0.2272727272727273,-0.0009875224
23,0.2727272727272727,0.05844371
23,0.3181818181818182,0.09376907
23,0.36363636363636365,0.2587716
23,0.4090909090909091,0.25517657
23,0.4545454545454546,0.23418179
23,0.5,0.6556477
23,0.5454545454545454,0.41573974
23,0.5909090909090909,0.76997954
23,0.6363636363636364,0.28875938
23,0.6818181818181819,0.29610842
23,0.7272727272727273,0.26349986
23,0.7727272727272727,0.0111022005
23,0.8181818181818182,-0.41350138
23,0.8636363636363636,-0.63758385
23,0.9090909090909092,-0.99082905
23,0.9545454545454546,-1.3183365
23,1.0,-1.169982
