N_DISC,T,estimated_epo
2,0.0,0.40086302
2,1.0,0.56333977
3,0.0,0.3345034
3,0.5,0.48731333
3,1.0,0.6355054
4,0.0,0.29173145
4,0.3333333333333333,0.4883974
4,0.6666666666666666,0.48337898
4,1.0,0.6850197
5,0.0,0.3411602
5,0.25,0.47542477
5,0.5,0.48824817
5,0.75,0.49282056
5,1.0,0.7185532
6,0.0,0.36630878
6,0.2,0.4462347
6,0.4,0.49197835
6,0.6000000000000001,0.48566294
6,0.8,0.51232445
6,1.0,0.73717934
7,0.0,0.381627
7,0.16666666666666666,0.40900764
7,0.3333333333333333,0.4911445
7,0.5,0.48919466
7,0.6666666666666666,0.48265573
7,0.8333333333333333,0.53876406
7,1.0,0.7665918
8,0.0,0.36869767
8,0.14285714285714285,0.37506214
8,0.2857142857142857,0.4869198
8,0.42857142857142855,0.48862004
8,0.5714285714285714,0.4877625
8,0.7142857142857142,0.48718745
8,0.8571428571428571,0.5674136
8,1.0,0.79506415
9,0.0,0.3794667
9,0.125,0.3540334
9,0.25,0.46988437
9,0.375,0.4951382
9,0.5,0.48871934
9,0.625,0.48291367
9,0.75,0.4943417
9,0.875,0.5793905
9,1.0,0.824901
10,0.0,0.37242258
10,0.1111111111111111,0.35592267
10,0.2222222222222222,0.44638285
10,0.3333333333333333,0.4975039
10,0.4444444444444444,0.4858222
10,0.5555555555555556,0.48930869
10,0.6666666666666666,0.4839333
10,0.7777777777777777,0.5032542
10,0.8888888888888888,0.5961164
10,1.0,0.8382226
11,0.0,0.37100536
11,0.1,0.34313768
11,0.2,0.4293603
11,0.30000000000000004,0.4876179
11,0.4,0.4890634
11,0.5,0.48921984
11,0.6000000000000001,0.48429352
11,0.7000000000000001,0.49007615
11,0.8,0.5155307
11,0.9,0.6197247
11,1.0,0.856195
12,0.0,0.37810344
12,0.09090909090909091,0.3468024
12,0.18181818181818182,0.40881345
12,0.2727272727272727,0.47497222
12,0.36363636363636365,0.4940322
12,0.4545454545454546,0.48698577
12,0.5454545454545454,0.490602
12,0.6363636363636364,0.48384553
12,0.7272727272727273,0.49155217
12,0.8181818181818182,0.5346237
12,0.9090909090909092,0.6343167
12,1.0,0.8672971
13,0.0,0.37821707
13,0.08333333333333333,0.3612391
13,0.16666666666666666,0.40000558
13,0.25,0.4609016
13,0.3333333333333333,0.49576044
13,0.41666666666666663,0.48547515
13,0.5,0.4913557
13,0.5833333333333333,0.48544943
13,0.6666666666666666,0.48202682
13,0.75,0.49806654
13,0.8333333333333333,0.54979664
13,0.9166666666666666,0.648043
13,1.0,0.8675563
14,0.0,0.40425766
14,0.07692307692307693,0.3483947
14,0.15384615384615385,0.3747831
14,0.23076923076923078,0.4500744
14,0.3076923076923077,0.4886492
14,0.38461538461538464,0.48861158
14,0.46153846153846156,0.48663542
14,0.5384615384615385,0.49343252
14,0.6153846153846154,0.47967958
14,0.6923076923076923,0.49079275
14,0.7692307692307693,0.4995166
14,0.8461538461538463,0.55610836
14,0.9230769230769231,0.6512769
14,1.0,0.87150407
15,0.0,0.4035119
15,0.07142857142857142,0.3553439
15,0.14285714285714285,0.38090733
15,0.21428571428571427,0.43546453
15,0.2857142857142857,0.4794633
15,0.3571428571428571,0.49688655
15,0.42857142857142855,0.4816723
15,0.5,0.49376386
15,0.5714285714285714,0.48477024
15,0.6428571428571428,0.4830432
15,0.7142857142857142,0.49197245
15,0.7857142857142857,0.50919855
15,0.8571428571428571,0.5699494
15,0.9285714285714285,0.6603834
15,1.0,0.89187044
16,0.0,0.40282005
16,0.06666666666666667,0.36472067
16,0.13333333333333333,0.36478665
16,0.2,0.42951494
16,0.26666666666666666,0.46778455
16,0.3333333333333333,0.4959382
16,0.4,0.4853055
16,0.4666666666666667,0.48514304
16,0.5333333333333333,0.4946422
16,0.6,0.47931072
16,0.6666666666666666,0.4879304
16,0.7333333333333333,0.49093783
16,0.8,0.5223178
16,0.8666666666666667,0.5800323
16,0.9333333333333333,0.6677228
16,1.0,0.8938337
17,0.0,0.4026507
17,0.0625,0.37911856
17,0.125,0.33566105
17,0.1875,0.42318097
17,0.25,0.45530784
17,0.3125,0.49186718
17,0.375,0.49069664
17,0.4375,0.4820169
17,0.5,0.49390435
17,0.5625,0.48578185
17,0.625,0.4821332
17,0.6875,0.49081492
17,0.75,0.48946095
17,0.8125,0.5378549
17,0.875,0.59554726
17,0.9375,0.67116463
17,1.0,0.8995787
18,0.0,0.35573453
18,0.058823529411764705,0.38706875
18,0.11764705882352941,0.3374157
18,0.1764705882352941,0.4092085
18,0.23529411764705882,0.4483928
18,0.29411764705882354,0.47849336
18,0.3529411764705882,0.4977761
18,0.4117647058823529,0.4853064
18,0.47058823529411764,0.48466474
18,0.5294117647058824,0.493985
18,0.5882352941176471,0.48553887
18,0.6470588235294118,0.48244736
18,0.7058823529411764,0.49124348
18,0.7647058823529411,0.49430573
18,0.8235294117647058,0.54083925
18,0.8823529411764706,0.60927355
18,0.9411764705882353,0.68071777
18,1.0,0.9044818
19,0.0,0.34738275
19,0.05555555555555555,0.38419452
19,0.1111111111111111,0.34085506
19,0.16666666666666666,0.38362908
19,0.2222222222222222,0.4429196
19,0.2777777777777778,0.48340437
19,0.3333333333333333,0.497937
19,0.38888888888888884,0.48336548
19,0.4444444444444444,0.48466036
19,0.5,0.49317926
19,0.5555555555555556,0.48733336
19,0.611111111111111,0.481274
19,0.6666666666666666,0.48793924
19,0.7222222222222222,0.4931657
19,0.7777777777777777,0.4977872
19,0.8333333333333333,0.54988885
19,0.8888888888888888,0.6150623
19,0.9444444444444444,0.68887806
19,1.0,0.9185666
20,0.0,0.3463938
20,0.05263157894736842,0.37970874
20,0.10526315789473684,0.35917652
20,0.15789473684210525,0.38160807
20,0.21052631578947367,0.43774846
20,0.2631578947368421,0.46617377
20,0.3157894736842105,0.49287817
20,0.3684210526315789,0.49185196
20,0.42105263157894735,0.4835825
20,0.47368421052631576,0.4867096
20,0.5263157894736842,0.49314895
20,0.5789473684210527,0.48822537
20,0.631578947368421,0.48159242
20,0.6842105263157894,0.48823768
20,0.7368421052631579,0.49450347
20,0.7894736842105263,0.51135415
20,0.8421052631578947,0.550844
20,0.894736842105263,0.6282687
20,0.9473684210526315,0.70599383
20,1.0,0.9197062
21,0.0,0.31675872
21,0.05,0.36670226
21,0.1,0.36611667
21,0.15000000000000002,0.374324
21,0.2,0.41963285
21,0.25,0.46161526
21,0.30000000000000004,0.4834807
21,0.35000000000000003,0.49725527
21,0.4,0.4837001
21,0.45,0.4835643
21,0.5,0.4973131
21,0.55,0.48990154
21,0.6000000000000001,0.4811932
21,0.65,0.482134
21,0.7000000000000001,0.49456638
21,0.75,0.48980194
21,0.8,0.52502614
21,0.8500000000000001,0.5598386
21,0.9,0.629843
21,0.9500000000000001,0.7131153
21,1.0,0.92516834
22,0.0,0.30115893
22,0.047619047619047616,0.36577263
22,0.09523809523809523,0.344978
22,0.14285714285714285,0.37559068
22,0.19047619047619047,0.4169287
22,0.23809523809523808,0.4526036
22,0.2857142857142857,0.48021016
22,0.3333333333333333,0.4986748
22,0.38095238095238093,0.48863456
22,0.42857142857142855,0.4839559
22,0.47619047619047616,0.48595855
22,0.5238095238095237,0.49273086
22,0.5714285714285714,0.48858288
22,0.6190476190476191,0.48456705
22,0.6666666666666666,0.48656878
22,0.7142857142857142,0.49129215
22,0.7619047619047619,0.49298495
22,0.8095238095238095,0.5374768
22,0.8571428571428571,0.5666684
22,0.9047619047619047,0.629456
22,0.9523809523809523,0.7262494
22,1.0,0.9304199
23,0.0,0.29946688
23,0.045454545454545456,0.35787678
23,0.09090909090909091,0.34166682
23,0.13636363636363635,0.35743853
23,0.18181818181818182,0.41380426
23,0.2272727272727273,0.44225648
23,0.2727272727272727,0.47599763
23,0.3181818181818182,0.4951565
23,0.36363636363636365,0.49204013
23,0.4090909090909091,0.48424807
23,0.4545454545454546,0.47923023
23,0.5,0.5017538
23,0.5454545454545454,0.48940122
23,0.5909090909090909,0.47907594
23,0.6363636363636364,0.4796282
23,0.6818181818181819,0.48956928
23,0.7272727272727273,0.49513042
23,0.7727272727272727,0.49426663
23,0.8181818181818182,0.5429752
23,0.8636363636363636,0.5817709
23,0.9090909090909092,0.6251407
23,0.9545454545454546,0.7292217
23,1.0,0.9302922
24,0.0,0.297324
24,0.043478260869565216,0.36729756
24,0.08695652173913043,0.34809145
24,0.13043478260869565,0.33492815
24,0.17391304347826086,0.3966519
24,0.21739130434782608,0.43904418
24,0.2608695652173913,0.4659885
24,0.30434782608695654,0.48673356
24,0.34782608695652173,0.50144863
24,0.3913043478260869,0.48374802
24,0.43478260869565216,0.48471653
24,0.4782608695652174,0.48825493
24,0.5217391304347826,0.49453902
24,0.5652173913043478,0.4861646
24,0.6086956521739131,0.48455375
24,0.6521739130434783,0.4849982
24,0.6956521739130435,0.4900744
24,0.7391304347826086,0.4936236
24,0.7826086956521738,0.50602645
24,0.8260869565217391,0.5419887
24,0.8695652173913043,0.588543
24,0.9130434782608695,0.6326882
24,0.9565217391304348,0.7490148
24,1.0,0.93113744
25,0.0,0.29650626
25,0.041666666666666664,0.3695092
25,0.08333333333333333,0.36813816
25,0.125,0.33410743
25,0.16666666666666666,0.3812519
25,0.20833333333333331,0.4366665
25,0.25,0.45453182
25,0.29166666666666663,0.48384002
25,0.3333333333333333,0.4951659
25,0.375,0.49126625
25,0.41666666666666663,0.48740205
25,0.4583333333333333,0.4763678
25,0.5,0.49993214
25,0.5416666666666666,0.48837057
25,0.5833333333333333,0.4844824
25,0.625,0.48313034
25,0.6666666666666666,0.4854807
25,0.7083333333333333,0.4904984
25,0.75,0.4880527
25,0.7916666666666666,0.5137965
25,0.8333333333333333,0.54058844
25,0.875,0.5985525
25,0.9166666666666666,0.62877715
25,0.9583333333333333,0.76721495
25,1.0,0.9315419
