N_DISC,T,estimated_epo
2,0.0,0.62225133
2,1.0,2.5345016
3,0.0,-1.3819889
3,0.5,1.6154392
3,1.0,4.165188
4,0.0,-1.764412
4,0.3333333333333333,0.66004354
4,0.6666666666666666,2.516481
4,1.0,4.7549376
5,0.0,-2.3506525
5,0.25,-0.11631098
5,0.5,1.5202016
5,0.75,3.237244
5,1.0,5.4250603
6,0.0,-2.3590834
6,0.2,-0.7796953
6,0.4,0.84754086
6,0.6000000000000001,2.244638
6,0.8,3.693732
6,1.0,5.7294683
7,0.0,-2.3725426
7,0.16666666666666666,-1.3200552
7,0.3333333333333333,0.28697237
7,0.5,1.5227109
7,0.6666666666666666,2.7706587
7,0.8333333333333333,4.0267735
7,1.0,5.9525604
8,0.0,-2.6803403
8,0.14285714285714285,-1.6312809
8,0.2857142857142857,-0.12961818
8,0.42857142857142855,0.98112
8,0.5714285714285714,2.0234463
8,0.7142857142857142,3.2733448
8,0.8571428571428571,4.183086
8,1.0,5.828804
9,0.0,-2.6809053
9,0.125,-1.5455589
9,0.25,-0.536852
9,0.375,0.58739495
9,0.5,1.4896591
9,0.625,2.5201192
9,0.75,3.5673764
9,0.875,4.2894998
9,1.0,5.69357
10,0.0,-2.698917
10,0.1111111111111111,-1.4387985
10,0.2222222222222222,-0.8871473
10,0.3333333333333333,0.2159757
10,0.4444444444444444,1.0660151
10,0.5555555555555556,1.9337058
10,0.6666666666666666,2.9029145
10,0.7777777777777777,3.7912357
10,0.8888888888888888,4.5494947
10,1.0,6.961402
11,0.0,-2.6838868
11,0.1,-1.3987669
11,0.2,-1.333229
11,0.30000000000000004,-0.094983734
11,0.4,0.7969576
11,0.5,1.4806526
11,0.6000000000000001,2.2846668
11,0.7000000000000001,3.1331701
11,0.8,3.87748
11,0.9,4.9779067
11,1.0,8.099424
12,0.0,-2.693657
12,0.09090909090909091,-1.8328363
12,0.18181818181818182,-1.6136047
12,0.2727272727272727,-0.40758106
12,0.36363636363636365,0.4597673
12,0.4545454545454546,1.1620698
12,0.5454545454545454,1.9015651
12,0.6363636363636364,2.6233633
12,0.7272727272727273,3.3823388
12,0.8181818181818182,3.9355643
12,0.9090909090909092,5.2521358
12,1.0,8.104058
13,0.0,-2.6902883
13,0.08333333333333333,-2.0294654
13,0.16666666666666666,-1.6626855
13,0.25,-0.64581984
13,0.3333333333333333,0.21093972
13,0.41666666666666663,0.899023
13,0.5,1.4938296
13,0.5833333333333333,2.1353095
13,0.6666666666666666,2.9137564
13,0.75,3.6965034
13,0.8333333333333333,4.046587
13,0.9166666666666666,5.1890106
13,1.0,8.1096735
14,0.0,-2.684713
14,0.07692307692307693,-2.0367606
14,0.15384615384615385,-1.571568
14,0.23076923076923078,-0.86816156
14,0.3076923076923077,-0.04844857
14,0.38461538461538464,0.56251615
14,0.46153846153846156,1.2192713
14,0.5384615384615385,1.806025
14,0.6153846153846154,2.4583201
14,0.6923076923076923,3.1320834
14,0.7692307692307693,3.9003978
14,0.8461538461538463,4.087344
14,0.9230769230769231,5.458743
14,1.0,8.111937
15,0.0,-2.6890416
15,0.07142857142857142,-2.025206
15,0.14285714285714285,-1.4531479
15,0.21428571428571427,-1.2828254
15,0.2857142857142857,-0.26755723
15,0.3571428571428571,0.41221446
15,0.42857142857142855,0.9337848
15,0.5,1.5357419
15,0.5714285714285714,2.1022267
15,0.6428571428571428,2.7003486
15,0.7142857142857142,3.2665439
15,0.7857142857142857,3.9982872
15,0.8571428571428571,4.082333
15,0.9285714285714285,5.4319353
15,1.0,8.111736
16,0.0,-2.6942723
16,0.06666666666666667,-1.3727969
16,0.13333333333333333,-1.4255052
16,0.2,-1.6384288
16,0.26666666666666666,-0.5669963
16,0.3333333333333333,0.22982673
16,0.4,0.67918926
16,0.4666666666666667,1.2717563
16,0.5333333333333333,1.7862681
16,0.6,2.3139224
16,0.6666666666666666,2.923629
16,0.7333333333333333,3.449406
16,0.8,4.1086817
16,0.8666666666666667,4.191309
16,0.9333333333333333,5.4027915
16,1.0,8.115431
17,0.0,-2.5073228
17,0.0625,-2.3660643
17,0.125,-1.3930312
17,0.1875,-1.7612729
17,0.25,-0.7099254
17,0.3125,-0.012065458
17,0.375,0.47734877
17,0.4375,1.0162001
17,0.5,1.5264702
17,0.5625,2.020532
17,0.625,2.5074072
17,0.6875,3.074603
17,0.75,3.6960626
17,0.8125,3.8564339
17,0.875,4.625252
17,0.9375,5.468801
17,1.0,8.118502
18,0.0,-2.5988603
18,0.058823529411764705,-2.2338078
18,0.11764705882352941,-1.4758608
18,0.1764705882352941,-1.8306881
18,0.23529411764705882,-0.8544365
18,0.29411764705882354,-0.16431314
18,0.3529411764705882,0.34996247
18,0.4117647058823529,0.8719388
18,0.47058823529411764,1.2123529
18,0.5294117647058824,1.7588254
18,0.5882352941176471,2.1974404
18,0.6470588235294118,2.7349055
18,0.7058823529411764,3.280504
18,0.7647058823529411,3.8920186
18,0.8235294117647058,3.6820302
18,0.8823529411764706,4.9346128
18,0.9411764705882353,5.772812
18,1.0,8.103939
19,0.0,-2.5988605
19,0.05555555555555555,-2.246357
19,0.1111111111111111,-1.9977084
19,0.16666666666666666,-1.6032599
19,0.2222222222222222,-1.1948647
19,0.2777777777777778,-0.38467777
19,0.3333333333333333,0.18363303
19,0.38888888888888884,0.6360472
19,0.4444444444444444,1.0615484
19,0.5,1.5460902
19,0.5555555555555556,2.0134697
19,0.611111111111111,2.3445923
19,0.6666666666666666,2.9801602
19,0.7222222222222222,3.3145514
19,0.7777777777777777,3.9750612
19,0.8333333333333333,3.8019443
19,0.8888888888888888,4.9077587
19,0.9444444444444444,5.7778835
19,1.0,8.106506
20,0.0,-2.5988603
20,0.05263157894736842,-2.237534
20,0.10526315789473684,-1.982877
20,0.15789473684210525,-1.549277
20,0.21052631578947367,-1.567233
20,0.2631578947368421,-0.5335302
20,0.3157894736842105,0.037080564
20,0.3684210526315789,0.46269447
20,0.42105263157894735,0.9762476
20,0.47368421052631576,1.2184006
20,0.5263157894736842,1.7394761
20,0.5789473684210527,2.112308
20,0.631578947368421,2.581376
20,0.6842105263157894,3.0511487
20,0.7368421052631579,3.5560298
20,0.7894736842105263,4.163141
20,0.8421052631578947,3.66601
20,0.894736842105263,5.004095
20,0.9473684210526315,5.882065
20,1.0,8.108421
21,0.0,-2.5988603
21,0.05,-2.2356296
21,0.1,-2.412412
21,0.15000000000000002,-1.2652148
21,0.2,-1.6874516
21,0.25,-0.74661946
21,0.30000000000000004,-0.120986484
21,0.35000000000000003,0.2986017
21,0.4,0.6915717
21,0.45,1.1043577
21,0.5,1.535987
21,0.55,1.9835165
21,0.6000000000000001,2.2456431
21,0.65,2.827526
21,0.7000000000000001,3.145958
21,0.75,3.8081584
21,0.8,4.205065
21,0.8500000000000001,4.1024013
21,0.9,4.607587
21,0.9500000000000001,5.8636975
21,1.0,8.109037
22,0.0,-2.5988605
22,0.047619047619047616,-2.7146814
22,0.09523809523809523,-2.025906
22,0.14285714285714285,-1.1534591
22,0.19047619047619047,-1.6944985
22,0.23809523809523808,-0.8766155
22,0.2857142857142857,-0.29988495
22,0.3333333333333333,0.18480237
22,0.38095238095238093,0.5380893
22,0.42857142857142855,1.0410753
22,0.47619047619047616,1.2435896
22,0.5238095238095237,1.745384
22,0.5714285714285714,2.0425923
22,0.6190476190476191,2.410705
22,0.6666666666666666,2.986906
22,0.7142857142857142,3.3673437
22,0.7619047619047619,3.8230884
22,0.8095238095238095,4.031436
22,0.8571428571428571,4.1195407
22,0.9047619047619047,5.147401
22,0.9523809523809523,5.274029
22,1.0,8.115901
23,0.0,-2.5988605
23,0.045454545454545456,-2.7146115
23,0.09090909090909091,-2.0193486
23,0.13636363636363635,-1.0004339
23,0.18181818181818182,-1.86123
23,0.2272727272727273,-1.1389308
23,0.2727272727272727,-0.5320327
23,0.3181818181818182,0.099918626
23,0.36363636363636365,0.45359096
23,0.4090909090909091,0.71818465
23,0.4545454545454546,1.1186486
23,0.5,1.6016682
23,0.5454545454545454,1.8664209
23,0.5909090909090909,2.243812
23,0.6363636363636364,2.6442845
23,0.6818181818181819,3.047902
23,0.7272727272727273,3.4376268
23,0.7727272727272727,4.034454
23,0.8181818181818182,3.8462336
23,0.8636363636363636,4.244148
23,0.9090909090909092,5.276102
23,0.9545454545454546,5.068983
23,1.0,8.120416
