N_DISC,T,estimated_epo
2,0.0,4.67067
2,1.0,5.260951
3,0.0,4.4748945
3,0.5,4.961767
3,1.0,5.615671
4,0.0,3.5219011
4,0.3333333333333333,4.5586996
4,0.6666666666666666,5.3715873
4,1.0,4.6663284
5,0.0,3.0635056
5,0.25,4.36207
5,0.5,4.8989034
5,0.75,5.665281
5,1.0,5.023624
6,0.0,3.3439445
6,0.2,4.2472034
6,0.4,4.596702
6,0.6000000000000001,5.2715697
6,0.8,5.6745667
6,1.0,5.9237914
7,0.0,3.1464233
7,0.16666666666666666,4.237857
7,0.3333333333333333,4.4465165
7,0.5,4.9609113
7,0.6666666666666666,5.3356204
7,0.8333333333333333,5.7719
7,1.0,5.8063245
8,0.0,1.0619442
8,0.14285714285714285,4.069693
8,0.2857142857142857,4.163568
8,0.42857142857142855,4.7286005
8,0.5714285714285714,5.143325
8,0.7142857142857142,5.615273
8,0.8571428571428571,5.989534
8,1.0,6.1389914
9,0.0,-1.5098964
9,0.125,4.0099936
9,0.25,4.182254
9,0.375,4.5135007
9,0.5,4.9507346
9,0.625,5.2796974
9,0.75,5.6684732
9,0.875,5.542447
9,1.0,6.758541
10,0.0,-1.5027316
10,0.1111111111111111,3.6009254
10,0.2222222222222222,4.228938
10,0.3333333333333333,4.4081507
10,0.4444444444444444,4.695699
10,0.5555555555555556,5.013971
10,0.6666666666666666,5.630973
10,0.7777777777777777,5.8779583
10,0.8888888888888888,4.688496
10,1.0,11.646923
11,0.0,-1.4868219
11,0.1,4.226659
11,0.2,4.1692743
11,0.30000000000000004,3.9987965
11,0.4,4.7329264
11,0.5,4.978675
11,0.6000000000000001,5.1699033
11,0.7000000000000001,5.4738374
11,0.8,5.9384546
11,0.9,5.1530056
11,1.0,11.651784
12,0.0,-1.484592
12,0.09090909090909091,3.9912543
12,0.18181818181818182,4.1998215
12,0.2727272727272727,4.2994547
12,0.36363636363636365,4.452367
12,0.4545454545454546,4.693683
12,0.5454545454545454,5.168404
12,0.6363636363636364,5.407601
12,0.7272727272727273,5.3762603
12,0.8181818181818182,6.080089
12,0.9090909090909092,5.3038673
12,1.0,11.631975
13,0.0,-1.5123366
13,0.08333333333333333,3.600674
13,0.16666666666666666,3.9226677
13,0.25,4.30426
13,0.3333333333333333,4.3853354
13,0.41666666666666663,4.555708
13,0.5,5.0433764
13,0.5833333333333333,5.003901
13,0.6666666666666666,5.6015115
13,0.75,5.503275
13,0.8333333333333333,6.2667804
13,0.9166666666666666,5.023044
13,1.0,11.650327
14,0.0,-1.4995594
14,0.07692307692307693,4.574337
14,0.15384615384615385,3.9287431
14,0.23076923076923078,4.275695
14,0.3076923076923077,4.0989046
14,0.38461538461538464,4.5903635
14,0.46153846153846156,4.738845
14,0.5384615384615385,5.1399264
14,0.6153846153846154,5.222581
14,0.6923076923076923,5.600213
14,0.7692307692307693,5.7493367
14,0.8461538461538463,5.5868526
14,0.9230769230769231,5.3355703
14,1.0,11.647676
15,0.0,-1.4997765
15,0.07142857142857142,4.5475416
15,0.14285714285714285,3.7220707
15,0.21428571428571427,4.357967
15,0.2857142857142857,4.260108
15,0.3571428571428571,4.390514
15,0.42857142857142855,4.6273704
15,0.5,4.9689984
15,0.5714285714285714,4.970958
15,0.6428571428571428,5.713052
15,0.7142857142857142,5.270289
15,0.7857142857142857,5.920907
15,0.8571428571428571,5.4577823
15,0.9285714285714285,5.483607
15,1.0,11.646395
16,0.0,-1.4982703
16,0.06666666666666667,4.5429373
16,0.13333333333333333,3.3506777
16,0.2,3.9577641
16,0.26666666666666666,4.429827
16,0.3333333333333333,4.273907
16,0.4,4.5873923
16,0.4666666666666667,4.7398987
16,0.5333333333333333,5.2041655
16,0.6,5.0049944
16,0.6666666666666666,5.65408
16,0.7333333333333333,5.566638
16,0.8,6.3333325
16,0.8666666666666667,4.4250364
16,0.9333333333333333,5.5656047
16,1.0,11.647122
17,0.0,-1.4729846
17,0.0625,4.484081
17,0.125,3.8181672
17,0.1875,3.9461527
17,0.25,4.1204414
17,0.3125,4.071262
17,0.375,4.680895
17,0.4375,4.623787
17,0.5,4.964956
17,0.5625,5.079115
17,0.625,5.3159313
17,0.6875,5.584629
17,0.75,5.312852
17,0.8125,6.4604483
17,0.875,4.5860486
17,0.9375,5.5602007
17,1.0,11.644814
18,0.0,-1.4688269
18,0.058823529411764705,4.5310388
18,0.11764705882352941,4.3929715
18,0.1764705882352941,3.6308634
18,0.23529411764705882,4.443294
18,0.29411764705882354,4.278765
18,0.3529411764705882,4.4030504
18,0.4117647058823529,4.51555
18,0.47058823529411764,4.7778335
18,0.5294117647058824,5.2132573
18,0.5882352941176471,4.85393
