N_DISC,T,estimated_epo
2,0.0,-0.8198656
2,1.0,-1.0209081
3,0.0,-0.35249186
3,0.5,-0.94776
3,1.0,-0.59146726
4,0.0,-0.2695229
4,0.3333333333333333,-0.87952965
4,0.6666666666666666,-0.94478035
4,1.0,-0.04244979
5,0.0,-0.223811
5,0.25,-0.7670043
5,0.5,-0.93758374
5,0.75,-1.0116874
5,1.0,-0.23943469
6,0.0,-0.040567458
6,0.2,-0.6586161
6,0.4,-0.92290795
6,0.6000000000000001,-0.97162473
6,0.8,-0.7803676
6,1.0,-0.009891766
7,0.0,0.33142838
7,0.16666666666666666,-0.44545856
7,0.3333333333333333,-0.86047727
7,0.5,-1.0241297
7,0.6666666666666666,-1.0064102
7,0.8333333333333333,-0.4539009
7,1.0,1.2302934
8,0.0,0.3248122
8,0.14285714285714285,-0.54455596
8,0.2857142857142857,-0.8139411
8,0.42857142857142855,-0.946245
8,0.5714285714285714,-0.9381045
8,0.7142857142857142,-0.99346596
8,0.8571428571428571,-0.42317596
8,1.0,1.1810683
9,0.0,0.63806856
9,0.125,-0.541637
9,0.25,-0.73164666
9,0.375,-0.78375226
9,0.5,-1.057047
9,0.625,-1.0381057
9,0.75,-0.87060595
9,0.875,-0.43529114
9,1.0,0.9512608
10,0.0,-0.3443187
10,0.1111111111111111,-0.3136338
10,0.2222222222222222,-0.67453295
10,0.3333333333333333,-0.8391565
10,0.4444444444444444,-1.1134118
10,0.5555555555555556,-0.9655778
10,0.6666666666666666,-0.9892416
10,0.7777777777777777,-0.84549755
10,0.8888888888888888,0.120264105
10,1.0,-0.942969
11,0.0,-0.27922875
11,0.1,-0.23372026
11,0.2,-0.44830576
11,0.30000000000000004,-0.9252924
11,0.4,-0.8271238
11,0.5,-1.209479
11,0.6000000000000001,-1.0024942
11,0.7000000000000001,-1.01991
11,0.8,-0.40910116
11,0.9,0.04186225
11,1.0,-0.8945013
12,0.0,0.25304687
12,0.09090909090909091,-0.26173788
12,0.18181818181818182,-0.535774
12,0.2727272727272727,-0.8224935
12,0.36363636363636365,-0.81786656
12,0.4545454545454546,-1.1386826
12,0.5454545454545454,-0.96563417
12,0.6363636363636364,-0.99872035
12,0.7272727272727273,-0.8276434
12,0.8181818181818182,-0.57081676
12,0.9090909090909092,-0.0407031
12,1.0,-0.94650215
13,0.0,0.29714608
13,0.08333333333333333,-0.31890324
13,0.16666666666666666,-0.5409546
13,0.25,-0.7432974
13,0.3333333333333333,-0.825594
13,0.41666666666666663,-0.81588024
13,0.5,-1.149609
13,0.5833333333333333,-0.9352264
13,0.6666666666666666,-1.1922195
13,0.75,-0.780335
13,0.8333333333333333,0.06327036
13,0.9166666666666666,-0.29657423
13,1.0,-0.9270677
14,0.0,0.2766167
14,0.07692307692307693,-0.050157644
14,0.15384615384615385,-0.54694253
14,0.23076923076923078,-0.7064995
14,0.3076923076923077,-0.8662781
14,0.38461538461538464,-0.7789891
14,0.46153846153846156,-1.1036557
14,0.5384615384615385,-0.90122736
14,0.6153846153846154,-1.0565491
14,0.6923076923076923,-0.939577
14,0.7692307692307693,-0.82712615
14,0.8461538461538463,-0.19433919
14,0.9230769230769231,0.11834268
14,1.0,-2.1683996
15,0.0,0.25177553
15,0.07142857142857142,-0.13905743
15,0.14285714285714285,-0.4577596
15,0.21428571428571427,-0.42637905
15,0.2857142857142857,-0.98833257
15,0.3571428571428571,-0.825422
15,0.42857142857142855,-0.9112027
15,0.5,-1.0035087
15,0.5714285714285714,-1.0109255
15,0.6428571428571428,-1.0320536
15,0.7142857142857142,-0.95275146
15,0.7857142857142857,-0.45935753
15,0.8571428571428571,0.1567411
15,0.9285714285714285,0.083737
15,1.0,-2.1683996
16,0.0,1.5235614
16,0.06666666666666667,-0.2893638
16,0.13333333333333333,-0.46424773
16,0.2,-0.43781683
16,0.26666666666666666,-0.8441143
16,0.3333333333333333,-0.8344087
16,0.4,-0.7492714
16,0.4666666666666667,-1.2523229
16,0.5333333333333333,-0.9484443
16,0.6,-0.9525641
16,0.6666666666666666,-1.189745
16,0.7333333333333333,-0.8418241
16,0.8,-0.81874466
