N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
2,0,,0.40086302161216736,0.0
2,1,0.5633397698402405,,1.0
3,0,,0.34085673093795776,0.0
3,1,0.5241936445236206,0.45043304562568665,0.4794098348593114
3,2,0.6650553345680237,,1.0
4,0,,0.37962108850479126,0.0
4,1,0.5574451684951782,0.4208606779575348,0.3108210384113527
4,2,0.5689228177070618,0.40897297859191895,0.6512367972768544
4,3,0.6722744703292847,,1.0
5,0,,0.4132666289806366,0.0
5,1,0.5778288245201111,0.44307923316955566,0.23853246548312398
5,2,0.5717675685882568,0.4079039990901947,0.4794098348593114
5,3,0.5608104467391968,0.3739010691642761,0.7271865250250824
5,4,0.6550319194793701,,1.0
6,0,,0.44005459547042847,0.0
6,1,0.5851329565048218,0.4642258584499359,0.2018593593758142
6,2,0.5804107785224915,0.437574177980423,0.3763038627011432
6,3,0.5647968053817749,0.38647693395614624,0.5840078268271515
6,4,0.5393158793449402,0.3576198220252991,0.7705437225552128
6,5,0.6403095722198486,,1.0
7,0,,0.45611438155174255,0.0
7,1,0.5839522480964661,0.4786820709705353,0.18142168648455942
7,2,0.5910637974739075,0.4663470983505249,0.3108210384113527
7,3,0.5715292692184448,0.42027392983436584,0.4794098348593114
7,4,0.5406044125556946,0.361612468957901,0.6512367972768544
7,5,0.5282204747200012,0.351578950881958,0.8020921635115896
7,6,0.6380311250686646,,1.0
8,0,,0.4330676794052124,0.0
8,1,0.589475691318512,0.4885469973087311,0.16705934262790934
8,2,0.5966891050338745,0.4891338646411896,0.2672169210232322
8,3,0.578843355178833,0.44531574845314026,0.40460241508025696
8,4,0.5511905550956726,0.4072265625,0.5541232478903249
8,5,0.5177891254425049,0.3403400778770447,0.695291961061408
8,6,0.5168785452842712,0.3571349084377289,0.8244638515670449
8,7,0.6471391916275024,,1.0
9,0,,0.44753265380859375,0.0
9,1,0.5926435589790344,0.49868011474609375,0.1570383959920878
9,2,0.5967254638671875,0.5038414001464844,0.23853246548312398
9,3,0.5883238911628723,0.47727295756340027,0.35165311513838815
9,4,0.5617138147354126,0.43275269865989685,0.4794098348593114
9,5,0.53278648853302,0.3855709433555603,0.6100579078695371
9,6,0.49214908480644226,0.328665167093277,0.7271865250250824
9,7,0.5144739151000977,0.36384162306785583,0.8415917843465779
9,8,0.6638597846031189,,1.0
10,0,,0.4270842671394348,0.0
10,1,0.5834219455718994,0.5072637796401978,0.1491745804254266
