N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
2,0,,4.670670032501221,3.5
2,1,5.260951042175293,,6.5
3,0,,4.256555557250977,3.5
3,1,4.921957969665527,5.001576900482178,5.0
3,2,5.677281856536865,,6.5
4,0,,3.379438877105713,3.5
4,1,4.486236572265625,4.7035393714904785,4.5
4,2,5.296555995941162,5.417850494384766,5.5
4,3,5.296201229095459,,6.5
5,0,,3.423642158508301,3.5
5,1,4.180412769317627,4.408412933349609,4.25
5,2,4.878783702850342,4.979772090911865,5.0
5,3,5.567695140838623,5.791157245635986,5.75
5,4,5.7665181159973145,,6.5
6,0,,3.771294116973877,3.5
6,1,4.027536869049072,4.205163955688477,4.1
6,2,4.565274715423584,4.677770614624023,4.7
6,3,5.201577663421631,5.344059467315674,5.3
6,4,5.676093578338623,5.8948469161987305,5.9
6,5,6.374992847442627,,6.5
7,0,,3.494459390640259,3.5
7,1,3.7769522666931152,4.070643901824951,4.0
7,2,4.367565631866455,4.524692058563232,4.5
7,3,4.949152946472168,4.97116756439209,5.0
7,4,5.348943710327148,5.443965911865234,5.5
7,5,5.701730728149414,6.1072869300842285,6.0
7,6,6.739037990570068,,6.5
8,0,,1.6822571754455566,3.5
8,1,3.4420275688171387,3.94439697265625,3.9285714285714284
8,2,4.0459418296813965,4.177365303039551,4.357142857142857
8,3,4.708028793334961,4.740285873413086,4.785714285714286
8,4,5.138660907745361,5.260035514831543,5.214285714285714
8,5,5.536092758178711,5.738574981689453,5.642857142857142
8,6,6.15960168838501,5.991095542907715,6.071428571428571
8,7,6.066678047180176,,6.5
9,0,,-1.3817613124847412,3.5
9,1,3.341066360473633,3.9670629501342773,3.875
9,2,4.16610860824585,4.137272834777832,4.25
9,3,4.534414768218994,4.534256458282471,4.625
9,4,4.934442043304443,4.984840393066406,5.0
9,5,5.278634548187256,5.363535404205322,5.375
9,6,5.636582851409912,5.80610990524292,5.75
9,7,5.805144786834717,5.764379501342773,6.125
9,8,4.965698719024658,,6.5
10,0,,-1.4214084148406982,3.5
10,1,3.061964511871338,3.273817777633667,3.8333333333333335
10,2,4.0075764656066895,4.084621906280518,4.166666666666667
10,3,4.380270004272461,4.413817405700684,4.5
10,4,4.701261043548584,4.684293270111084,4.833333333333333
10,5,5.018250465393066,5.116513252258301,5.166666666666667
10,6,5.545355796813965,5.884398460388184,5.5
10,7,5.895696640014648,5.905466556549072,5.833333333333334
10,8,5.693042755126953,4.838926792144775,6.166666666666666
10,9,11.513063430786133,,6.5
11,0,,-1.4037115573883057,3.5
11,1,3.7731404304504395,3.654191493988037,3.8
11,2,3.9594006538391113,3.836529493331909,4.1
11,3,3.990311861038208,4.159112453460693,4.4
11,4,4.6558098793029785,4.691093921661377,4.7
11,5,5.062464714050293,5.004661560058594,5.0
11,6,5.174293518066406,5.2116546630859375,5.3
11,7,5.438440322875977,5.728028774261475,5.6
11,8,5.873453617095947,5.991607666015625,5.9
11,9,5.843845367431641,5.389793872833252,6.2
11,10,11.530515670776367,,6.5
12,0,,-1.4493457078933716,3.5
