N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
2,0,,-0.8198655843734741,0.0
2,1,-1.0209081172943115,,-1.5
3,0,,-0.32617244124412537,0.0
3,1,-0.9613952040672302,-0.9341248273849487,-0.875
3,2,-0.21486181020736694,,-1.5
4,0,,-0.19294890761375427,0.0
4,1,-0.9029545783996582,-0.845801830291748,-0.611111111111111
4,2,-1.0322548151016235,-0.8800589442253113,-1.1111111111111112
4,3,0.14404082298278809,,-1.5
5,0,,-0.22874809801578522,0.0
5,1,-0.7967836260795593,-0.7491320967674255,-0.46875
5,2,-0.9803125858306885,-0.9014806151390076,-0.875
5,3,-1.0546380281448364,-0.8441206216812134,-1.21875
5,4,-0.14595794677734375,,-1.5
6,0,,-0.0528358519077301,0.0
6,1,-0.7209562063217163,-0.6501052975654602,-0.38
6,2,-0.9588364958763123,-0.8967551589012146,-0.72
6,3,-1.03196382522583,-0.9021129012107849,-1.02
6,4,-0.7940871715545654,-0.383794367313385,-1.28
6,5,0.43490371108055115,,-1.5
7,0,,0.25070720911026,0.0
7,1,-0.48600104451179504,-0.4703701436519623,-0.3194444444444444
7,2,-0.8814829587936401,-0.8499020338058472,-0.611111111111111
7,3,-1.0792163610458374,-0.986627459526062,-0.875
7,4,-1.032784104347229,-0.8849106431007385,-1.1111111111111112
7,5,-0.4681392014026642,0.04932444170117378,-1.3194444444444444
7,6,1.3178153038024902,,-1.5
8,0,,0.2590954601764679,0.0
8,1,-0.5842310190200806,-0.5662232637405396,-0.2755102040816326
8,2,-0.8525980114936829,-0.8169501423835754,-0.5306122448979591
8,3,-0.9831940531730652,-0.9138830900192261,-0.7653061224489796
8,4,-0.9855666756629944,-0.884716272354126,-0.9795918367346939
8,5,-0.9680692553520203,-0.8407927751541138,-1.1734693877551021
8,6,-0.3998606503009796,-0.011281730607151985,-1.346938775510204
8,7,1.5311148166656494,,-1.5
9,0,,0.6669319272041321,0.0
9,1,-0.578093409538269,-0.5284503698348999,-0.2421875
9,2,-0.7946239709854126,-0.7425906658172607,-0.46875
9,3,-0.8140965700149536,-0.7791205644607544,-0.6796875
9,4,-1.112262487411499,-1.0190976858139038,-0.875
9,5,-1.057955265045166,-0.9556006193161011,-1.0546875
9,6,-0.8353648781776428,-0.5488108992576599,-1.21875
9,7,-0.4656561017036438,0.35592105984687805,-1.3671875
9,8,1.5017048120498657,,-1.5
10,0,,-0.31692638993263245,0.0
10,1,-0.4013068974018097,-0.31029897928237915,-0.21604938271604937
10,2,-0.7685805559158325,-0.704197883605957,-0.41975308641975306
10,3,-0.8694781064987183,-0.8516521453857422,-0.611111111111111
