N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
2,0,,0.05985163152217865,-0.00041848255972569805
2,1,-0.011953059583902359,,-1.0004184825597258
3,0,,0.07683184742927551,-0.00041848255972569805
3,1,0.07577215135097504,-0.06834987550973892,0.2503179022265588
3,2,-0.026222793385386467,,-1.0004184825597258
4,0,,0.017517436295747757,-0.00041848255972569805
4,1,0.12466384470462799,0.14866064488887787,0.0557647968354184
4,2,0.03207962587475777,-0.07797735929489136,0.2224314635020852
4,3,0.09104245156049728,,-1.0004184825597258
5,0,,0.06804591417312622,-0.00041848255972569805
5,1,0.0644623190164566,0.16536656022071838,5.972768597091579e-05
5,2,0.15650005638599396,0.022461462765932083,0.2503179022265588
5,3,0.008063262328505516,-0.007328851148486137,-0.0001786082314383982
5,4,0.11491219699382782,,-1.0004184825597258
6,0,,0.06802289187908173,-0.00041848255972569805
6,1,0.03966078534722328,0.165193572640419,-0.012452681246958452
6,2,0.17940443754196167,0.15827874839305878,0.12981132985259683
6,3,0.060245856642723083,-0.12095761299133301,0.29135435029845036
6,4,0.12100609391927719,0.26182252168655396,-0.19799463699357894
6,5,-0.12091654539108276,,-1.0004184825597258
7,0,,0.011040818877518177,-0.00041848255972569805
7,1,0.005130907986313105,0.07034523040056229,-0.014057521830940804
7,2,0.19264033436775208,0.22877974808216095,0.0557647968354184
7,3,0.1924002766609192,0.05670797452330589,0.2503179022265588
7,4,-0.023455344140529633,-0.10768861323595047,0.2224314635020852
7,5,0.20239199697971344,0.2631881833076477,-0.34750058339724427
7,6,-0.2974463403224945,,-1.0004184825597258
8,0,,0.03391116484999657,-0.00041848255972569805
8,1,-0.019392549991607666,0.03006625920534134,-0.012971552796364354
8,2,0.13721829652786255,0.26369965076446533,0.018328117028051115
8,3,0.2031252235174179,0.17944829165935516,0.16585962554581843
8,4,0.08501492440700531,-0.048633452504873276,0.2943709628606036
8,5,-0.050297752022743225,-0.07453411817550659,0.11339923731174359
8,6,0.2780161201953888,0.2723986804485321,-0.45833859888354916
8,7,-0.503698468208313,,-1.0004184825597258
9,0,,0.01501827035099268,-0.00041848255972569805
9,1,0.003710380056872964,0.06384658813476562,-0.01132899376204272
9,2,0.08386079221963882,0.2063378393650055,5.972768597091579e-05
9,3,0.21032555401325226,0.20172974467277527,0.09975502984580169
9,4,0.20908968150615692,0.09113867580890656,0.2503179022265588
9,5,-0.035283543169498444,-0.10351961106061935,0.27639541834472664
9,6,0.01703258603811264,0.017424868419766426,-0.0001786082314383982
9,7,0.28257209062576294,0.24871589243412018,-0.5416242278787261
9,8,-0.6233958601951599,,-1.0004184825597258
10,0,,-0.007772230543196201,-0.00041848255972569805
10,1,0.04334490746259689,0.058079902082681656,-0.009777915043358081
10,2,0.011834320612251759,0.0860101506114006,-0.008647887384100548
10,3,0.18168506026268005,0.2789137363433838,0.0557647968354184
10,4,0.24918338656425476,0.18806125223636627,0.18601154043718493
10,5,0.1092061996459961,0.00019667029846459627,0.29042183163561924
10,6,-0.053578633815050125,-0.11343778669834137,0.2224314635020852
10,7,0.07413206994533539,0.07912298291921616,-0.10511909719906183
10,8,0.28068074584007263,0.21584515273571014,-0.6055902596914517
10,9,-0.6976614594459534,,-1.0004184825597258
11,0,,-0.010559016838669777,-0.00041848255972569805
11,1,0.039687156677246094,0.03387092798948288,-0.00842833279986867
11,2,0.011397948488593102,0.06689096242189407,-0.012452681246958452
11,3,0.15526969730854034,0.30575382709503174,0.028012558510084204
11,4,0.2366432249546051,0.21019870042800903,0.12981132985259683
11,5,0.1951180398464203,0.10090033710002899,0.2503179022265588
11,6,0.0005541070713661611,-0.04859403520822525,0.29135435029845036
11,7,-0.09894730895757675,-0.12094884365797043,0.15131137979243828
11,8,0.2256099432706833,0.2425071746110916,-0.19799463699357894
11,9,0.16481414437294006,0.09676644951105118,-0.655588624985635
11,10,-0.7563218474388123,,-1.0004184825597258
12,0,,-0.026972690597176552,-0.00041848255972569805
12,1,0.01483070757240057,0.021002624183893204,-0.007304558467592362
12,2,-0.009052686393260956,0.052034325897693634,-0.013906571640531207
12,3,0.12026890367269516,0.2452811449766159,0.010644957471688251
12,4,0.2343463897705078,0.2511621415615082,0.08686720269806117
12,5,0.23343931138515472,0.18824762105941772,0.19864388099598773
12,6,0.13965873420238495,0.012038319371640682,0.285870514960942
12,7,-0.08095100522041321,-0.13206282258033752,0.26546558468313897
12,8,-0.025681424885988235,-0.024124955758452415,0.0753335203231815
12,9,0.3229254186153412,0.34548282623291016,-0.27826157991445916
12,10,0.03215593844652176,-0.05560598522424698,-0.6956029035112858
12,11,-0.8286145329475403,,-1.0004184825597258
13,0,,-0.035335473716259,-0.00041848255972569805
13,1,0.009699991904199123,0.0025583936367183924,-0.0063800495434111655
