N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
2,0,0.01192870374546663,,0.05985163152217865,-0.0005738359838473281
2,1,0.4254118791636871,-0.011953059583902359,,0.16183548721138769
3,0,0.0031239784193026624,,0.07683184742927551,-0.0004497137903475376
3,1,0.06821740474057215,0.07577215135097504,-0.06834987550973892,-0.004622498180932067
3,2,0.5844439246570581,-0.026222793385386467,,0.294869185679629
4,0,0.0011789300943608639,,0.017517436295747757,-0.0004302686327140736
4,1,0.022678477396572395,0.12466384470462799,0.14866064488887787,-0.0009407354756012337
4,2,0.15346364361065395,0.03207962587475777,-0.07797735929489136,-0.013642473011503873
4,3,0.6973601147167202,0.09104245156049728,,0.15802301923179796
5,0,0.0006274965558339906,,0.06804591417312622,-0.00042475580717471083
5,1,0.010758902218979668,0.0644623190164566,0.16536656022071838,-0.0005390362483100079
5,2,0.05847159631553331,0.15650005638599396,0.022461462765932083,-0.0035919321397918837
5,3,0.24871725412413476,0.008063262328505516,-0.007328851148486137,-0.0004272446993497741
5,4,0.7747762080584024,0.11491219699382782,,-0.09330636739358239
6,0,0.00039298609421499253,,0.06802289187908173,-0.0004224113446570434
6,1,0.0058631719225437475,0.03966078534722328,0.165193572640419,-0.00047709822536442966
6,2,0.02956459501438965,0.17940443754196167,0.15827874839305878,-0.0012765843995723148
6,3,0.10687021446675467,0.060245856642723083,-0.12095761299133301,-0.009263718520138459
6,4,0.34384187205740435,0.12100609391927719,0.26182252168655396,0.06598395602736706
6,5,0.8243256118297668,-0.12091654539108276,,-0.30620318134154834
7,0,0.0002831530247881377,,0.011040818877518177,-0.0004213133146898773
7,1,0.003447162990795919,0.005130907986313105,0.07034523040056229,-0.0004529447511708775
7,2,0.017616472375435795,0.19264033436775208,0.22877974808216095,-0.0007430380575655999
7,3,0.056029560884703414,0.1924002766609192,0.05670797452330589,-0.0033556109197249366
7,4,0.1607287298679275,-0.023455344140529633,-0.10768861323595047,-0.013953640646745988
7,5,0.4341744664640423,0.20239199697971344,0.2631881833076477,0.17299589615380132
7,6,0.8575069163202688,-0.2974463403224945,,-0.46004147125775896
8,0,0.00022270258571593997,,0.03391116484999657,-0.00042070897581474617
8,1,0.0021351576030057876,-0.019392549991607666,0.03006625920534134,-0.000439828289613401
8,2,0.011548011094221237,0.13721829652786255,0.26369965076446533,-0.0005625109827386989
8,3,0.03380894369892355,0.2031252235174179,0.17944829165935516,-0.0015460605782236967
8,4,0.08982512940522895,0.08501492440700531,-0.048633452504873276,-0.00717227703253218
8,5,0.217102157816079,-0.050297752022743225,-0.07453411817550659,-0.009691486983620334
8,6,0.5141777928146362,0.2780161201953888,0.2723986804485321,0.26370623329905063
8,7,0.8805424366188043,-0.503698468208313,,-0.567274245834093
9,0,0.00018436637585965814,,0.01501827035099268,-0.00042032571868217734
9,1,0.0014941162297283472,0.003710380056872964,0.06384658813476562,-0.0004334196310761767
9,2,0.007706694148011166,0.08386079221963882,0.2063378393650055,-0.000495528399985454
9,3,0.02264295987270052,0.21032555401325226,0.20172974467277527,-0.0009390032190763637
9,4,0.05512814695049825,0.20908968150615692,0.09113867580890656,-0.003268379081059796
9,5,0.12688110739851768,-0.035283543169498444,-0.10351961106061935,-0.011524037961819179
9,6,0.27318108700361093,0.01703258603811264,0.017424868419766426,0.010906598472172558
9,7,0.5806622316033035,0.28257209062576294,0.24871589243412018,0.29493399823169275
9,8,0.8980756996211781,-0.6233958601951599,,-0.6470198464232749
10,0,0.00015430683478690185,,-0.007772230543196201,-0.0004200252055756113
10,1,0.001100686276881079,0.04334490746259689,0.058079902082681656,-0.00042948640877381035
10,2,0.005326029690691531,0.011834320612251759,0.0860101506114006,-0.0004717282737616747
10,3,0.01619177474726781,0.18168506026268005,0.2789137363433838,-0.0007006555682643722
10,4,0.036870721177705824,0.24918338656425476,0.18806125223636627,-0.001749946546528941
10,5,0.08007247145336079,0.1092061996459961,0.00019667029846459627,-0.005985957026101629
10,6,0.1662044536846048,-0.053578633815050125,-0.11343778669834137,-0.014051493346480516
10,7,0.3312300545636647,0.07413206994533539,0.07912298291921616,0.05385261470590021
10,8,0.6383925426947613,0.28068074584007263,0.21584515273571014,0.2630315737972834
10,9,0.911159873422044,-0.6976614594459534,,-0.7044289542296654
11,0,0.00013192451079465427,,-0.010559016838669777,-0.0004198014436193393
11,1,0.0008503637436768855,0.039687156677246094,0.03387092798948288,-0.00042698386883434163
11,2,0.003778582159944643,0.011397948488593102,0.06689096242189407,-0.00045625803542413197
11,3,0.011993915066112611,0.15526969730854034,0.30575382709503174,-0.0005757759169566092
11,4,0.026261283142031897,0.2366432249546051,0.21019870042800903,-0.0011154756588500053
11,5,0.0548277484066493,0.1951180398464203,0.10090033710002899,-0.003239308843383272
11,6,0.10956175398787464,0.0005541070713661611,-0.04859403520822525,-0.009590059947418897
11,7,0.20497475633975126,-0.09894730895757675,-0.12094884365797043,-0.01179308692988553
11,8,0.3873278609548255,0.2256099432706833,0.2425071746110916,0.11432840620038863
11,9,0.6835142090209441,0.16481414437294006,0.09676644951105118,0.1894553127991627
11,10,0.9209399739891504,-0.7563218474388123,,-0.7458643864580058
12,0,0.00011493268082913549,,-0.026972690597176552,-0.0004196315718439579
12,1,0.0006710395076008496,0.01483070757240057,0.021002624183893204,-0.0004251911174701289
12,2,0.0027602872994736405,-0.009052686393260956,0.052034325897693634,-0.00044607787494930297
12,3,0.00894747639817032,0.12026890367269516,0.2452811449766159,-0.0005079328251782682
12,4,0.01997169692846361,0.2343463897705078,0.2511621415615082,-0.0008131022434301111
12,5,0.03910005059680715,0.23343931138515472,0.18824762105941772,-0.0018983991987659731
