N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
2,0,,0.4035887122154236,0.0
2,1,0.5658913850784302,,1.0
3,0,,0.4657312035560608,0.0
3,1,0.5922383069992065,0.3720206916332245,0.4794098348593114
3,2,0.5256959199905396,,1.0
4,0,,0.4941260516643524,0.0
4,1,0.6013451814651489,0.4388832747936249,0.3108210384113527
4,2,0.5478407144546509,0.3553018271923065,0.6512367972768544
4,3,0.5073564052581787,,1.0
5,0,,0.5023908019065857,0.0
5,1,0.6063912510871887,0.47819018363952637,0.23853246548312398
5,2,0.5594396591186523,0.4268791377544403,0.4794098348593114
5,3,0.5240837335586548,0.3363479971885681,0.7271865250250824
5,4,0.4933916926383972,,1.0
6,0,,0.5138581991195679,0.0
6,1,0.6116711497306824,0.4947347640991211,0.2018593593758142
6,2,0.5645838379859924,0.46033212542533875,0.3763038627011432
6,3,0.5371232628822327,0.4123559594154358,0.5840078268271515
6,4,0.5057460069656372,0.32813164591789246,0.7705437225552128
6,5,0.49237060546875,,1.0
7,0,,0.5199002623558044,0.0
7,1,0.6149996519088745,0.5095270872116089,0.18142168648455942
7,2,0.5644943714141846,0.4774605631828308,0.3108210384113527
7,3,0.5434417724609375,0.4483569264411926,0.4794098348593114
7,4,0.5191856026649475,0.4013902544975281,0.6512367972768544
7,5,0.4861549735069275,0.32003024220466614,0.8020921635115896
7,6,0.48842012882232666,,1.0
8,0,,0.5227333903312683,0.0
8,1,0.6190822720527649,0.5251255631446838,0.16705934262790934
8,2,0.5731157064437866,0.488619863986969,0.2672169210232322
8,3,0.5445462465286255,0.46920156478881836,0.40460241508025696
8,4,0.5326153635978699,0.4341141879558563,0.5541232478903249
8,5,0.5021486282348633,0.3883936405181885,0.695291961061408
8,6,0.47294530272483826,0.3110387921333313,0.8244638515670449
8,7,0.488246351480484,,1.0
9,0,,0.5213896632194519,0.0
9,1,0.6190252304077148,0.5270426273345947,0.1570383959920878
9,2,0.5794777274131775,0.5013701915740967,0.23853246548312398
9,3,0.5486524701118469,0.4813006520271301,0.35165311513838815
9,4,0.5358441472053528,0.46543052792549133,0.4794098348593114
9,5,0.5163670778274536,0.42423146963119507,0.6100579078695371
9,6,0.4919215738773346,0.3843839466571808,0.7271865250250824
9,7,0.46337687969207764,0.3025910556316376,0.8415917843465779
9,8,0.49561506509780884,,1.0
10,0,,0.523398220539093,0.0
10,1,0.6198692321777344,0.5336385369300842,0.1491745804254266
10,2,0.5889523029327393,0.5171757340431213,0.21814544154442606
10,3,0.5523849129676819,0.4908543825149536,0.3108210384113527
10,4,0.5355914831161499,0.47450387477874756,0.4207197258105905
10,5,0.5320190191268921,0.45150676369667053,0.5380000279792313
10,6,0.5043217539787292,0.41781824827194214,0.6512367972768544
10,7,0.47918668389320374,0.37162336707115173,0.7505979616917067
10,8,0.4579680860042572,0.2993120551109314,0.8552593633464026
10,9,0.4948151111602783,,1.0
11,0,,0.5239585638046265,0.0
11,1,0.6212078332901001,0.5407557487487793,0.142773955319503
11,2,0.5880795121192932,0.5221626162528992,0.2018593593758142
11,3,0.5606234073638916,0.4931964576244354,0.27943187021132715
11,4,0.5354719758033752,0.48260030150413513,0.3763038627011432
11,5,0.5356611609458923,0.47618934512138367,0.4794098348593114
11,6,0.512893795967102,0.4364185035228729,0.5840078268271515
11,7,0.4940096139907837,0.4114476442337036,0.6815788681437442
11,8,0.46802347898483276,0.36730942130088806,0.7705437225552128
11,9,0.4548696279525757,0.29818981885910034,0.8668260377632114
11,10,0.49557408690452576,,1.0
12,0,,0.527565598487854,0.0
12,1,0.6200436949729919,0.5413051843643188,0.13741034495806603
12,2,0.5914182662963867,0.534355878829956,0.19011696702589836
12,3,0.5649184584617615,0.4979778230190277,0.25640918471779606
12,4,0.5413525700569153,0.49219828844070435,0.3400123525204565
12,5,0.5305145382881165,0.4828980565071106,0.4314218116318409
12,6,0.5303288102149963,0.4653414189815521,0.5274081514410192
12,7,0.503911018371582,0.4287721812725067,0.6216734792318498
12,8,0.48140278458595276,0.404247522354126,0.7070926409119491
12,9,0.46397340297698975,0.3601420521736145,0.7879429176096752
12,10,0.4491827189922333,0.29927146434783936,0.8763312339653302
12,11,0.49408501386642456,,1.0
13,0,,0.5300130844116211,0.0
13,1,0.6181071400642395,0.543892502784729,0.13303752475389455
13,2,0.5905255079269409,0.532748818397522,0.18142168648455942
13,3,0.5747957825660706,0.5154365301132202,0.23853246548312398
13,4,0.5462358593940735,0.4966942071914673,0.3108210384113527
13,5,0.5290038585662842,0.484593003988266,0.3924481262865874
13,6,0.5333264470100403,0.4818744659423828,0.4794098348593114
13,7,0.5174686312675476,0.4508504867553711,0.566503412651467
13,8,0.48966068029403687,0.42248281836509705,0.6512367972768544
13,9,0.471981406211853,0.3992065489292145,0.7271865250250824
13,10,0.45678287744522095,0.358090341091156,0.8020921635115896
13,11,0.44791460037231445,0.30364763736724854,0.8842711838261342
13,12,0.4927350580692291,,1.0
14,0,,0.5291992425918579,0.0
14,1,0.6148519515991211,0.5465330481529236,0.12926898588055288
14,2,0.5914174318313599,0.5415060520172119,0.17348712372182531
14,3,0.5794739723205566,0.5273891091346741,0.22441371169619
14,4,0.5499682426452637,0.4974166452884674,0.28629017740931395
14,5,0.5334211587905884,0.4913168251514435,0.36139685503183894
14,6,0.5261192917823792,0.4855916500091553,0.439037985719908
14,7,0.5210191011428833,0.46751928329467773,0.5201743278716577
14,8,0.5065869092941284,0.4456464648246765,0.5998823334420622
14,9,0.4847680926322937,0.42346298694610596,0.6744515630104313
14,10,0.4682632386684418,0.39826250076293945,0.7430544209457866
14,11,0.44979584217071533,0.352644681930542,0.8140680231287271
14,12,0.44489577412605286,0.306440144777298,0.8912162273146491
14,13,0.4935437738895416,,1.0
15,0,,0.5302536487579346,0.0
15,1,0.6115676760673523,0.5445030331611633,0.1259648621496104
15,2,0.5899814963340759,0.5464397668838501,0.16705934262790934
15,3,0.5844465494155884,0.5372992157936096,0.2122080644650299
15,4,0.5552653670310974,0.5010215640068054,0.2672169210232322
15,5,0.5395569205284119,0.5011100172996521,0.33375331708975275
15,6,0.5224435329437256,0.48765233159065247,0.40460241508025696
15,7,0.533734142780304,0.487874835729599,0.4794098348593114
15,8,0.514861524105072,0.4576199948787689,0.5541232478903249
15,9,0.49291473627090454,0.434667706489563,0.6281561702528543
15,10,0.4741281270980835,0.41772693395614624,0.695291961061408
15,11,0.4626810848712921,0.3912518322467804,0.7576657499339242
15,12,0.44654610753059387,0.3496089577674866,0.8244638515670449
15,13,0.4396428167819977,0.3066892623901367,0.8973775279721823
15,14,0.49648407101631165,,1.0
16,0,,0.5349655151367188,0.0
16,1,0.6116446852684021,0.5418972373008728,0.12292115449013935
16,2,0.5885372757911682,0.54737788438797,0.16176336747689796
16,3,0.5858639478683472,0.5465865135192871,0.2018593593758142
16,4,0.5638903379440308,0.5116617679595947,0.25169514347017397
16,5,0.541242241859436,0.49917906522750854,0.3108210384113527
16,6,0.5285409688949585,0.49376556277275085,0.3763038627011432
16,7,0.522365152835846,0.48789483308792114,0.44457441252523067
16,8,0.5229485034942627,0.4769584834575653,0.5148600047371718
16,9,0.507682740688324,0.45413997769355774,0.5840078268271515
16,10,0.4880518317222595,0.4305461049079895,0.6512367972768544
16,11,0.4670811891555786,0.4113290309906006,0.7125069879930762
16,12,0.4509182274341583,0.3828756809234619,0.7705437225552128
16,13,0.445110946893692,0.34986892342567444,0.833603099178493
16,14,0.437197208404541,0.3094465434551239,0.902944786863991
16,15,0.5003531575202942,,1.0
17,0,,0.5372807383537292,0.0
17,1,0.6123127341270447,0.5455955266952515,0.12019036012835682
17,2,0.5915669202804565,0.5492162704467773,0.1570383959920878
17,3,0.5780096054077148,0.538515031337738,0.1936360651852824
17,4,0.5736427903175354,0.5286082625389099,0.23853246548312398
17,5,0.5404056310653687,0.49702051281929016,0.2908051572437068
17,6,0.5319938063621521,0.49998462200164795,0.35165311513838815
17,7,0.5191774368286133,0.4902694523334503,0.4136186727425406
17,8,0.5359151363372803,0.49503758549690247,0.4794098348593114
17,9,0.5099161863327026,0.46150338649749756,0.5452051304314373
17,10,0.49680203199386597,0.4458504319190979,0.6100579078695371
17,11,0.4796575605869293,0.42877626419067383,0.6700772782243478
17,12,0.46320173144340515,0.40825459361076355,0.7271865250250824
17,13,0.4474726617336273,0.3800547420978546,0.7824398902514371
17,14,0.43768569827079773,0.3438331186771393,0.8415917843465779
17,15,0.4397542178630829,0.3090049922466278,0.9079014377650537
17,16,0.5029759407043457,,1.0
18,0,,0.5390896797180176,0.0
18,1,0.6105085015296936,0.5449807047843933,0.11772665113876506
18,2,0.593806803226471,0.5518280863761902,0.15283292768691117
18,3,0.5805401802062988,0.5434810519218445,0.1870503161688422
18,4,0.5738524198532104,0.5313306450843811,0.22766304923359365
18,5,0.5491243600845337,0.505623996257782,0.27432163339349896
18,6,0.5381664037704468,0.5028135180473328,0.3297977735667098
18,7,0.5202281475067139,0.49182429909706116,0.3877001633799642
18,8,0.524207353591919,0.49198564887046814,0.4487925268567394
18,9,0.5224118232727051,0.48372408747673035,0.5107938307205394
18,10,0.5104002952575684,0.46259596943855286,0.5719660619830202
18,11,0.48652470111846924,0.4344900846481323,0.6323703526949469
18,12,0.47043663263320923,0.4249826669692993,0.6873232603811973
18,13,0.46187087893486023,0.41014906764030457,0.7393950458337414
18,14,0.4458424150943756,0.3755514621734619,0.79299443077022
18,15,0.4313246011734009,0.33682408928871155,0.8487151961385782
18,16,0.4410549998283386,0.31160369515419006,0.9123246612190666
18,17,0.5027769804000854,,1.0
19,0,,0.5370675325393677,0.0
19,1,0.6098813414573669,0.5495819449424744,0.1154343389928699
19,2,0.5963283777236938,0.5541454553604126,0.1491745804254266
19,3,0.5804972648620605,0.5452721118927002,0.18142168648455942
19,4,0.5767686367034912,0.5411145687103271,0.21814544154442606
19,5,0.5561515688896179,0.5131328701972961,0.26064831030232394
19,6,0.5369753837585449,0.4996723532676697,0.3108210384113527
19,7,0.5231817364692688,0.4954271614551544,0.3654238851122366
19,8,0.5198490023612976,0.49732789397239685,0.4207197258105905
19,9,0.5329747796058655,0.4934418201446533,0.4794098348593114
19,10,0.505361795425415,0.4648457467556,0.5380000279792313
19,11,0.5002038478851318,0.45591190457344055,0.595354708214442
19,12,0.4837125837802887,0.4342082142829895,0.6512367972768544
19,13,0.46530881524086,0.4197359085083008,0.7025529337138824
19,14,0.45619693398475647,0.4040195047855377,0.7505979616917067
19,15,0.44030165672302246,0.3725808262825012,0.8020921635115896
19,16,0.4294651746749878,0.3362618088722229,0.8552593633464026
19,17,0.43893879652023315,0.30991846323013306,0.9163503082006647
19,18,0.5049635171890259,,1.0
20,0,,0.5372610688209534,0.0
20,1,0.6061352491378784,0.5473813414573669,0.11338332286233212
20,2,0.5982224345207214,0.5559747219085693,0.14581537956764576
20,3,0.5817387104034424,0.5494757294654846,0.17598226496943317
20,4,0.5810322165489197,0.547905683517456,0.2093763093884357
20,5,0.5607807040214539,0.5208888053894043,0.24914260301546134
20,6,0.5368662476539612,0.4994461238384247,0.2940386936581763
20,7,0.5334728360176086,0.5010952949523926,0.3447087549349755
20,8,0.5122483968734741,0.48909130692481995,0.39677287646870796
20,9,0.5289309620857239,0.4991895854473114,0.452052721109629
20,10,0.5236241817474365,0.4879515767097473,0.5075734939878217
20,11,0.506766676902771,0.46191614866256714,0.5617246191321545
20,12,0.48814651370048523,0.44579535722732544,0.6169142069155583
20,13,0.4763500988483429,0.4330326318740845,0.6671350502689668
20,14,0.46298566460609436,0.41765329241752625,0.715625835565888
20,15,0.45029133558273315,0.39596500992774963,0.7610145867517605
20,16,0.443431556224823,0.3719840943813324,0.8102221523242993
20,17,0.41769784688949585,0.3322712779045105,0.8613238451361174
20,18,0.4417093098163605,0.3126629889011383,0.9199522028684102
20,19,0.5064848065376282,,1.0
21,0,,0.5385525822639465,0.0
21,1,0.6056707501411438,0.5458997488021851,0.11153740834484813
21,2,0.5983098745346069,0.5565025806427002,0.142773955319503
21,3,0.5762309432029724,0.5489363670349121,0.17111673953659784
21,4,0.5817002058029175,0.5500511527061462,0.2018593593758142
21,5,0.5717359781265259,0.5324708223342896,0.23853246548312398
21,6,0.541107177734375,0.5040137767791748,0.27943187021132715
21,7,0.5379980802536011,0.5056052207946777,0.3270288931005797
21,8,0.5187509655952454,0.49397948384284973,0.3763038627011432
21,9,0.5204979181289673,0.49788907170295715,0.4264591065931157
21,10,0.5298423171043396,0.4949725568294525,0.4794098348593114
21,11,0.5017696619033813,0.4670836329460144,0.5321077569651989
21,12,0.5061124563217163,0.46403419971466064,0.5840078268271515
21,13,0.4836333394050598,0.437412291765213,0.6353202804044117
21,14,0.46703776717185974,0.4293350577354431,0.6815788681437442
21,15,0.4585425853729248,0.4147149622440338,0.7271865250250824
21,16,0.4452049434185028,0.394089937210083,0.7705437225552128
21,17,0.44159573316574097,0.3682239055633545,0.8177216003929335
21,18,0.41857948899269104,0.33211538195610046,0.8668260377632114
