N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
2,0,0.34834182262420654,,0.4035887122154236,0.3253717662968251
2,1,0.6826078295707703,0.5658913850784302,,0.6657015385221399
3,0,0.2920587956905365,,0.4657312035560608,0.2725330263225074
3,1,0.5085564851760864,0.5922383069992065,0.3720206916332245,0.4886534605034248
3,2,0.7458091974258423,0.5256959199905396,,0.7235180110099085
4,0,0.26049181818962097,,0.4941260516643524,0.24720310156645073
4,1,0.4361918568611145,0.6013451814651489,0.4388832747936249,0.4123055333120838
4,2,0.5814675092697144,0.5478407144546509,0.3553018271923065,0.5644241747663864
4,3,0.7837480306625366,0.5073564052581787,,0.7559142284293169
5,0,0.23922111093997955,,0.5023908019065857,0.23048303723778985
5,1,0.3917725086212158,0.6063912510871887,0.47819018363952637,0.36821381175671675
5,2,0.5082050561904907,0.5594396591186523,0.4268791377544403,0.4882738095233219
5,3,0.6282829642295837,0.5240837335586548,0.3363479971885681,0.6135284864015871
5,4,0.8098924160003662,0.4933916926383972,,0.7799166241422099
6,0,0.22328437864780426,,0.5138581991195679,0.21892601946602802
6,1,0.3608332574367523,0.6116711497306824,0.4947347640991211,0.3372609689431388
6,2,0.460907906293869,0.5645838379859924,0.46033212542533875,0.4383572362430202
6,3,0.5562050938606262,0.5371232628822327,0.4123559594154358,0.5386889340101761
6,4,0.6623777747154236,0.5057460069656372,0.32813164591789246,0.6473190587165427
6,5,0.8292404413223267,0.49237060546875,,0.7983189430730158
7,0,0.21061092615127563,,0.5199002623558044,0.20944004187697204
7,1,0.3383338749408722,0.6149996519088745,0.5095270872116089,0.31548218605383643
7,2,0.4264410138130188,0.5644943714141846,0.4774605631828308,0.4023839531871824
7,3,0.5080791115760803,0.5434417724609375,0.4483569264411926,0.48813775075111066
7,4,0.5915462374687195,0.5191856026649475,0.4013902544975281,0.5754904826308327
7,5,0.6889492273330688,0.4861549735069275,0.32003024220466614,0.6713735212049573
7,6,0.8443599939346313,0.48842012882232666,,0.812363988931025
8,0,0.20023739337921143,,0.5227333903312683,0.2020283954336059
8,1,0.3207462430000305,0.6190822720527649,0.5251255631446838,0.29888926169316316
8,2,0.39960917830467224,0.5731157064437866,0.488619863986969,0.3759195696913028
8,3,0.4727745056152344,0.5445462465286255,0.46920156478881836,0.45109476295412165
8,4,0.5439431667327881,0.5326153635978699,0.4341141879558563,0.5258455170072415
8,5,0.6189919114112854,0.5021486282348633,0.3883936405181885,0.603704134813622
8,6,0.7111313939094543,0.47294530272483826,0.3110387921333313,0.6923864763139218
8,7,0.8563647866249084,0.488246351480484,,0.8237294190061997
9,0,0.19155088067054749,,0.5213896632194519,0.19621966431846496
9,1,0.30643993616104126,0.6190252304077148,0.5270426273345947,0.28517358807994697
9,2,0.3782372772693634,0.5794777274131775,0.5013701915740967,0.35514584427797985
9,3,0.4452504813671112,0.5486524701118469,0.4813006520271301,0.4215524333189032
9,4,0.5080704092979431,0.5358441472053528,0.46543052792549133,0.48812834962439844
9,5,0.5723483562469482,0.5163670778274536,0.42423146963119507,0.5550531341306467
9,6,0.6415179371833801,0.4919215738773346,0.3843839466571808,0.6268129798781145
9,7,0.7297897934913635,0.46337687969207764,0.3025910556316376,0.7093551361508383
9,8,0.8660570979118347,0.49561506509780884,,0.8330140411496793
10,0,0.18416278064250946,,0.523398220539093,0.19156912074556298
10,1,0.29427945613861084,0.6198692321777344,0.5336385369300842,0.2744622034553869
10,2,0.3610612750053406,0.5889523029327393,0.5171757340431213,0.33748477915541
10,3,0.4224837124347687,0.5523849129676819,0.4908543825149536,0.39826310194335585
10,4,0.47972196340560913,0.5355914831161499,0.47450387477874756,0.45841073296732204
10,5,0.5366881489753723,0.5320190191268921,0.45150676369667053,0.5183365767409642
10,6,0.5957517623901367,0.5043217539787292,0.41781824827194214,0.5797276377613875
10,7,0.6608142256736755,0.47918668389320374,0.37162336707115173,0.6458908165408406
10,8,0.745578944683075,0.4579680860042572,0.2993120551109314,0.7233164540529946
10,9,0.8742060661315918,0.4948151111602783,,0.8408347665615714
11,0,0.17770524322986603,,0.5239585638046265,0.187729153572625
11,1,0.28391125798225403,0.6212078332901001,0.5407557487487793,0.26573285934346863
11,2,0.34694039821624756,0.5880795121192932,0.5221626162528992,0.32397122978983445
11,3,0.40305018424987793,0.5606234073638916,0.4931964576244354,0.37925858656452016
11,4,0.4568231999874115,0.5354719758033752,0.48260030150413513,0.4339086429638222
11,5,0.5079917311668396,0.5356611609458923,0.47618934512138367,0.4880433531363157
11,6,0.5604164600372314,0.512893795967102,0.4364185035228729,0.5431288531547759
11,7,0.6152958869934082,0.4940096139907837,0.4114476442337036,0.5997883288788922
11,8,0.6776639223098755,0.46802347898483276,0.36730942130088806,0.6612461278660767
11,9,0.75919109582901,0.4548696279525757,0.29818981885910034,0.7349095920911407
11,10,0.8812190294265747,0.49557408690452576,,0.8475798584007721
12,0,0.17193005979061127,,0.527565598487854,0.18455384504553923
12,1,0.27463868260383606,0.6200436949729919,0.5413051843643188,0.2580135206068273
12,2,0.3349067270755768,0.5914182662963867,0.534355878829956,0.312287643652933
12,3,0.38675975799560547,0.5649184584617615,0.4979778230190277,0.3634175517605852
12,4,0.43747079372406006,0.5413525700569153,0.49219828844070435,0.4135893549168276
12,5,0.484345018863678,0.5305145382881165,0.4828980565071106,0.4631978508460792
12,6,0.5319290161132812,0.5303288102149963,0.4653414189815521,0.5134047206164891
12,7,0.580481231212616,0.503911018371582,0.4287721812725067,0.5633250857678422
12,8,0.6319923400878906,0.48140278458595276,0.404247522354126,0.6173254036573936
12,9,0.6927632093429565,0.46397340297698975,0.3601420521736145,0.6748736221679188
12,10,0.7710899114608765,0.4491827189922333,0.29927146434783936,0.744646427278741
12,11,0.887391209602356,0.49408501386642456,,0.8537598006041633
13,0,0.16679751873016357,,0.5300130844116211,0.18150298385226665
13,1,0.26647675037384033,0.6181071400642395,0.543892502784729,0.2515569842993462
13,2,0.3245104253292084,0.5905255079269409,0.532748818397522,0.30247890752511875
13,3,0.3730570673942566,0.5747957825660706,0.5154365301132202,0.3495568667284775
13,4,0.4202551543712616,0.5462358593940735,0.4966942071914673,0.39594244061631695
13,5,0.4646669924259186,0.5290038585662842,0.484593003988266,0.4424155577618944
13,6,0.5079611539840698,0.5333264470100403,0.4818744659423828,0.4880103204102654
13,7,0.5522423982620239,0.5174686312675476,0.4508504867553711,0.534486064255822
13,8,0.5980880856513977,0.48966068029403687,0.42248281836509705,0.5820815327633342
13,9,0.646647036075592,0.471981406211853,0.3992065489292145,0.6319573399999997
13,10,0.7060081958770752,0.45678287744522095,0.358090341091156,0.6874461518824967
13,11,0.7816474437713623,0.44791460037231445,0.30364763736724854,0.7540430453857361
13,12,0.8928035497665405,0.4927350580692291,,0.8593027492342113
14,0,0.16222719848155975,,0.5291992425918579,0.17866347948480713
14,1,0.25903981924057007,0.6148519515991211,0.5465330481529236,0.24604713263577974
14,2,0.31546759605407715,0.5914174318313599,0.5415060520172119,0.2937222895346123
14,3,0.36122146248817444,0.5794739723205566,0.5273891091346741,0.3376420108755717
14,4,0.40508076548576355,0.5499682426452637,0.4974166452884674,0.3812256175182853
14,5,0.44778135418891907,0.5334211587905884,0.4913168251514435,0.42416704902947305
14,6,0.48768627643585205,0.5261192917823792,0.4855916500091553,0.46665392921491844
14,7,0.528471827507019,0.5210191011428833,0.46751928329467773,0.5098161374055324
14,8,0.5698228478431702,0.5065869092941284,0.4456464648246765,0.5525024527045458
14,9,0.6132898926734924,0.4847680926322937,0.42346298694610596,0.5976630495043929
14,10,0.660167932510376,0.4682632386684418,0.39826250076293945,0.6453004524850637
14,11,0.717703640460968,0.44979584217071533,0.352644681930542,0.6984402564739394
14,12,0.7910321354866028,0.44489577412605286,0.306440144777298,0.7624185694817381
14,13,0.8976380825042725,0.4935437738895416,,0.8643568500073601
15,0,0.15797719359397888,,0.5302536487579346,0.17603308305639087
15,1,0.2523731589317322,0.6115676760673523,0.5445030331611633,0.2405052371722175
15,2,0.3073129653930664,0.5899814963340759,0.5464397668838501,0.2859519634265336
15,3,0.3508773446083069,0.5844465494155884,0.5372992157936096,0.3278548422989016
15,4,0.39175334572792053,0.5552653670310974,0.5010215640068054,0.36819496897999854
15,5,0.43268683552742004,0.5395569205284119,0.5011100172996521,0.4087871249811822
15,6,0.470326691865921,0.5224435329437256,0.48765233159065247,0.4485171104475189
15,7,0.507970929145813,0.533734142780304,0.487874835729599,0.4880208805799969
15,8,0.5463175177574158,0.514861524105072,0.4576199948787689,0.5283003899094115
15,9,0.5854806303977966,0.49291473627090454,0.434667706489563,0.5688963185497297
15,10,0.6266401410102844,0.4741281270980835,0.41772693395614624,0.6117917793898338
15,11,0.6727281212806702,0.4626810848712921,0.3912518322467804,0.6567608031547575
15,12,0.7282465696334839,0.44654610753059387,0.3496089577674866,0.7079679908285811
15,13,0.7993932962417603,0.4396428167819977,0.3066892623901367,0.7699940308311032
15,14,0.9020375609397888,0.49648407101631165,,0.8689564535789227
16,0,0.15413518249988556,,0.5349655151367188,0.17366525204879496
16,1,0.24638882279396057,0.6116446852684021,0.5418972373008728,0.23582765576237738
16,2,0.2999761998653412,0.5885372757911682,0.54737788438797,0.2794111940761787
16,3,0.3415384292602539,0.5858639478683472,0.5465865135192871,0.3185726833612632
16,4,0.38041815161705017,0.5638903379440308,0.5116617679595947,0.357441697283776
16,5,0.41882073879241943,0.541242241859436,0.49917906522750854,0.39453452701504543
16,6,0.4553056061267853,0.5285409688949585,0.49376556277275085,0.4322517414100712
16,7,0.49026206135749817,0.522365152835846,0.48789483308792114,0.4693187284266787
16,8,0.525906503200531,0.5229485034942627,0.4769584834575653,0.5071477671906804
16,9,0.5619605779647827,0.507682740688324,0.45413997769355774,0.5446675886831313
16,10,0.599494457244873,0.4880518317222595,0.4305461049079895,0.5834984818301233
16,11,0.6384684443473816,0.4670811891555786,0.4113290309906006,0.6237671062947926
16,12,0.6841389536857605,0.4509182274341583,0.3828756809234619,0.6670710330391217
16,13,0.7380951046943665,0.445110946893692,0.34986892342567444,0.7167395911227944
16,14,0.8067367672920227,0.437197208404541,0.3094465434551239,0.7769266988514272
