N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
2,0,,0.715498149394989,0.0
2,1,2.6438748836517334,,3.211819532711872
3,0,,0.3876311779022217,0.0
3,1,1.6516624689102173,1.6448477506637573,1.605909766355936
3,2,2.969496965408325,,3.211819532711872
4,0,,0.1562444120645523,0.0
4,1,1.2739853858947754,1.2628397941589355,1.0706065109039573
4,2,2.0701451301574707,2.053001880645752,2.1412130218079146
4,3,3.2340078353881836,,3.211819532711872
5,0,,0.004448447376489639,0.0
5,1,1.0035606622695923,1.0182048082351685,0.802954883177968
5,2,1.7154687643051147,1.6780706644058228,1.605909766355936
5,3,2.2988390922546387,2.285513401031494,2.4088646495339043
5,4,3.3812243938446045,,3.211819532711872
6,0,,-0.08581603318452835,0.0
6,1,0.8854638338088989,0.8837094306945801,0.6423639065423745
6,2,1.360548973083496,1.3109846115112305,1.284727813084749
6,3,1.9367754459381104,1.957271933555603,1.9270917196271231
6,4,2.4281928539276123,2.4521219730377197,2.569455626169498
6,5,3.560523509979248,,3.211819532711872
7,0,,-0.19464311003684998,0.0
7,1,0.7738924026489258,0.7765284776687622,0.5353032554519787
7,2,1.187638759613037,1.163575530052185,1.0706065109039573
7,3,1.7020257711410522,1.6674247980117798,1.605909766355936
7,4,2.075863838195801,2.077618360519409,2.1412130218079146
7,5,2.585559606552124,2.60697078704834,2.6765162772598936
7,6,3.6764919757843018,,3.211819532711872
8,0,,-0.3017200231552124,0.0
8,1,0.6112661361694336,0.6189162731170654,0.4588313618159817
8,2,1.1223317384719849,1.096021294593811,0.9176627236319634
8,3,1.460827112197876,1.4306613206863403,1.376494085447945
8,4,1.8555384874343872,1.8554482460021973,1.8353254472639269
8,5,2.256816864013672,2.2498679161071777,2.294156809079909
8,6,2.7841765880584717,2.774397611618042,2.75298817089589
8,7,3.685405731201172,,3.211819532711872
9,0,,-0.38797491788864136,0.0
9,1,0.5729139447212219,0.5671302676200867,0.401477441588984
9,2,1.0339605808258057,1.0266783237457275,0.802954883177968
9,3,1.2957106828689575,1.2556484937667847,1.2044323247669522
9,4,1.6443723440170288,1.6004250049591064,1.605909766355936
9,5,2.0115392208099365,2.029981851577759,2.00738720794492
9,6,2.2850847244262695,2.354179859161377,2.4088646495339043
9,7,2.91725754737854,2.8756275177001953,2.8103420911228882
9,8,3.776885986328125,,3.211819532711872
