N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
2,0,,4.687753677368164,3.5
2,1,5.2621846199035645,,6.5
3,0,,4.414575099945068,3.5
3,1,4.997034549713135,5.121178150177002,5.0
3,2,5.437742710113525,,6.5
4,0,,4.27963399887085,3.5
4,1,4.699862480163574,4.7278947830200195,4.5
4,2,5.011395454406738,5.289844036102295,5.5
4,3,5.702395439147949,,6.5
5,0,,4.288261890411377,3.5
5,1,4.5754265785217285,4.619090557098389,4.25
5,2,5.068298816680908,5.0528788566589355,5.0
5,3,5.1978440284729,5.340565204620361,5.75
5,4,5.579433441162109,,6.5
6,0,,4.187732219696045,3.5
6,1,4.516416549682617,4.464983940124512,4.1
6,2,4.838519096374512,4.93266487121582,4.7
6,3,5.147027492523193,5.267759323120117,5.3
6,4,5.4277472496032715,5.47479248046875,5.9
6,5,5.60366153717041,,6.5
7,0,,4.066811561584473,3.5
7,1,4.442165851593018,4.561398506164551,4.0
7,2,4.761992931365967,4.776369094848633,4.5
7,3,5.079621315002441,5.040843963623047,5.0
7,4,5.060739517211914,5.096083641052246,5.5
7,5,5.459136486053467,5.657116889953613,6.0
7,6,5.6863508224487305,,6.5
8,0,,4.048222064971924,3.5
8,1,4.456905841827393,4.589375972747803,3.9285714285714284
8,2,4.5971903800964355,4.41146993637085,4.357142857142857
8,3,4.832793235778809,4.960202217102051,4.785714285714286
8,4,5.058912754058838,5.133080959320068,5.214285714285714
8,5,5.105271339416504,5.102031707763672,5.642857142857142
8,6,5.52897834777832,5.799752712249756,6.071428571428571
8,7,5.831710338592529,,6.5
9,0,,4.0797038078308105,3.5
9,1,4.355049133300781,4.4572954177856445,3.875
9,2,4.467662334442139,4.466939449310303,4.25
9,3,4.887535095214844,4.84261417388916,4.625
9,4,4.929934978485107,5.042377471923828,5.0
9,5,5.201960563659668,5.102539539337158,5.375
9,6,5.0978617668151855,5.207604885101318,5.75
9,7,5.470345497131348,5.774367809295654,6.125
9,8,5.878741264343262,,6.5
10,0,,4.007566928863525,3.5
10,1,4.304327964782715,4.389351844787598,3.8333333333333335
10,2,4.579366683959961,4.607357025146484,4.166666666666667
10,3,4.571201801300049,4.399430751800537,4.5
10,4,4.863542556762695,5.018749237060547,4.833333333333333
10,5,5.111510753631592,5.216228485107422,5.166666666666667
10,6,5.173470973968506,4.9795379638671875,5.5
10,7,5.254971981048584,5.414605140686035,5.833333333333334
10,8,5.501057147979736,5.717817306518555,6.166666666666666
10,9,5.80224609375,,6.5
11,0,,4.0838189125061035,3.5
11,1,4.208999156951904,4.205385208129883,3.8
11,2,4.525672435760498,4.68817663192749,4.1
11,3,4.546533107757568,4.5007548332214355,4.4
11,4,5.0003342628479,4.737577438354492,4.7
11,5,4.916530132293701,5.133201599121094,5.0
11,6,5.048811912536621,4.9684014320373535,5.3
11,7,5.065047740936279,4.935057163238525,5.6
11,8,5.323918342590332,5.563598155975342,5.9
11,9,5.685959815979004,5.8448638916015625,6.2
11,10,5.791126728057861,,6.5
12,0,,3.9995317459106445,3.5
12,1,4.097237586975098,4.223912239074707,3.7727272727272725
12,2,4.599117279052734,4.676046848297119,4.045454545454545
12,3,4.5562591552734375,4.472235202789307,4.318181818181818
12,4,4.738134860992432,4.517028331756592,4.590909090909091
12,5,4.806410312652588,5.055943489074707,4.863636363636363
12,6,5.224793910980225,5.4687910079956055,5.136363636363637
12,7,5.304666042327881,4.8483734130859375,5.409090909090909
12,8,4.774773120880127,4.950170040130615,5.681818181818182
12,9,5.5559000968933105,5.838102340698242,5.954545454545455
12,10,5.661403179168701,5.709476947784424,6.227272727272727
12,11,5.80902624130249,,6.5
13,0,,3.7760636806488037,3.5
13,1,4.001835823059082,4.142945766448975,3.75
13,2,4.667211532592773,4.825380802154541,4.0
13,3,4.7362213134765625,4.6122236251831055,4.25
13,4,4.560277462005615,4.5388383865356445,4.5
13,5,4.913154125213623,4.73830509185791,4.75
13,6,4.928918361663818,5.194072723388672,5.0
13,7,5.19880485534668,5.205839157104492,5.25
13,8,5.252042770385742,5.039444923400879,5.5
13,9,4.922271728515625,5.2038350105285645,5.75
13,10,5.79863166809082,5.8000898361206055,6.0
13,11,5.5566792488098145,5.56398868560791,6.25
13,12,5.686001300811768,,6.5
14,0,,3.8111588954925537,3.5
14,1,4.111963272094727,4.129300594329834,3.730769230769231
14,2,4.565471172332764,4.685309886932373,3.9615384615384617
14,3,4.56162691116333,4.521044731140137,4.1923076923076925
14,4,4.760985374450684,4.60506534576416,4.423076923076923
14,5,4.750241756439209,4.399827480316162,4.653846153846154
14,6,4.71725606918335,5.108499526977539,4.884615384615385
14,7,5.150449752807617,5.384437084197998,5.115384615384615
14,8,5.3087687492370605,4.9293413162231445,5.346153846153847
14,9,4.974687099456787,4.970508098602295,5.576923076923077
14,10,5.198915481567383,5.521202564239502,5.807692307692308
14,11,5.705505847930908,5.717264652252197,6.038461538461538
14,12,5.655566215515137,5.647769927978516,6.269230769230769
14,13,5.795037746429443,,6.5
15,0,,3.8718056678771973,3.5
15,1,3.990288734436035,3.9609222412109375,3.7142857142857144
15,2,4.530275344848633,4.6619873046875,3.9285714285714284
15,3,4.623258590698242,4.587339878082275,4.142857142857142
15,4,4.50697135925293,4.50730037689209,4.357142857142857
15,5,4.8344502449035645,4.6058173179626465,4.571428571428571
15,6,4.935689926147461,4.857389450073242,4.785714285714286
15,7,4.778721809387207,5.166038513183594,5.0
15,8,5.297538757324219,5.4015793800354,5.214285714285714
15,9,5.340653419494629,4.888294219970703,5.428571428571429
15,10,4.6342644691467285,4.70798397064209,5.642857142857142
15,11,5.430442810058594,5.843328475952148,5.857142857142858
15,12,5.526417255401611,5.466791152954102,6.071428571428571
15,13,5.664679050445557,5.783833026885986,6.285714285714286
15,14,5.9044575691223145,,6.5
16,0,,3.9310946464538574,3.5
16,1,4.143608570098877,4.000510215759277,3.7
16,2,4.434614181518555,4.53800630569458,3.9
16,3,4.578117370605469,4.5420613288879395,4.1
16,4,4.603263854980469,4.621179580688477,4.3
16,5,4.5295329093933105,4.5298848152160645,4.5
16,6,4.973834991455078,4.599274635314941,4.7
16,7,4.642970085144043,5.012141704559326,4.9
16,8,5.082943439483643,5.344845294952393,5.1
16,9,5.467352867126465,5.229552268981934,5.3
16,10,5.264267444610596,5.048806667327881,5.5
16,11,4.6407294273376465,4.873935222625732,5.699999999999999
16,12,5.465999126434326,5.713722229003906,5.9
16,13,5.784464359283447,5.680142879486084,6.1
16,14,5.651037216186523,5.8278303146362305,6.3
16,15,5.954359531402588,,6.5
17,0,,4.0132365226745605,3.5
17,1,4.199251651763916,4.1093831062316895,3.6875
17,2,4.410150051116943,4.338047981262207,3.875
17,3,4.627072811126709,4.712466716766357,4.0625
17,4,4.520776748657227,4.554445266723633,4.25
17,5,4.662428379058838,4.559080123901367,4.4375
17,6,4.69815731048584,4.488553524017334,4.625
17,7,4.937270641326904,4.803053379058838,4.8125
17,8,4.799502372741699,5.155254364013672,5.0
17,9,5.288874626159668,5.444984436035156,5.1875
17,10,5.179257392883301,4.750713348388672,5.375
17,11,4.973476409912109,5.064333438873291,5.5625
17,12,5.07914924621582,5.2108306884765625,5.75
17,13,5.553352355957031,5.601910591125488,5.9375
17,14,5.5939764976501465,5.757387638092041,6.125
17,15,5.762950897216797,5.833968162536621,6.3125
17,16,5.973392009735107,,6.5
18,0,,3.939634323120117,3.5
18,1,4.200142860412598,4.084035396575928,3.676470588235294
18,2,4.234539985656738,4.267954349517822,3.8529411764705883
18,3,4.536622524261475,4.6726460456848145,4.029411764705882
18,4,4.588587760925293,4.556159019470215,4.205882352941177
18,5,4.5070366859436035,4.550501823425293,4.382352941176471
18,6,4.905241966247559,4.749978065490723,4.5588235294117645
18,7,4.966218948364258,4.598189830780029,4.735294117647059
18,8,4.5665740966796875,4.8746137619018555,4.911764705882353
18,9,5.045263290405273,5.502136707305908,5.088235294117647
18,10,5.567046165466309,5.275524616241455,5.264705882352941
