N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
2,0,0.38525450229644775,,4.687753677368164,4.655763506889343
2,1,0.6391196250915527,5.2621846199035645,,5.417358875274658
3,0,0.34016382694244385,,4.414575099945068,4.5204914808273315
3,1,0.5104092955589294,4.997034549713135,5.121178150177002,5.031227886676788
3,2,0.6859854459762573,5.437742710113525,,5.557956337928772
4,0,0.3115285038948059,,4.27963399887085,4.434585511684418
4,1,0.458980530500412,4.699862480163574,4.7278947830200195,4.876941591501236
4,2,0.5630283951759338,5.011395454406738,5.289844036102295,5.1890851855278015
4,3,0.7152109146118164,5.702395439147949,,5.645632743835449
5,0,0.29128220677375793,,4.288261890411377,4.373846620321274
5,1,0.42721572518348694,4.5754265785217285,4.619090557098389,4.781647175550461
5,2,0.5094211101531982,5.068298816680908,5.0528788566589355,5.028263330459595
5,3,0.5969797372817993,5.1978440284729,5.340565204620361,5.290939211845398
5,4,0.7360365390777588,5.579433441162109,,5.708109617233276
6,0,0.2760130763053894,,4.187732219696045,4.328039228916168
6,1,0.40450718998908997,4.516416549682617,4.464983940124512,4.71352156996727
6,2,0.47557127475738525,4.838519096374512,4.93266487121582,4.926713824272156
6,3,0.5452473759651184,5.147027492523193,5.267759323120117,5.135742127895355
6,4,0.620003879070282,5.4277472496032715,5.47479248046875,5.360011637210846
6,5,0.751769483089447,5.60366153717041,,5.755308449268341
7,0,0.2632310092449188,,4.066811561584473,4.2896930277347565
7,1,0.3859928548336029,4.442165851593018,4.561398506164551,4.657978564500809
7,2,0.45226675271987915,4.761992931365967,4.776369094848633,4.8568002581596375
7,3,0.5087056159973145,5.079621315002441,5.040843963623047,5.026116847991943
7,4,0.571342945098877,5.060739517211914,5.096083641052246,5.214028835296631
7,5,0.6388669610023499,5.459136486053467,5.657116889953613,5.41660088300705
7,6,0.7649006843566895,5.6863508224487305,,5.794702053070068
8,0,0.25239911675453186,,4.048222064971924,4.257197350263596
8,1,0.37065786123275757,4.456905841827393,4.589375972747803,4.611973583698273
