N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
2,0,,-0.742753267288208,0.0
2,1,-1.081130862236023,,-1.5
3,0,,-0.7632898092269897,0.0
3,1,-0.9801347851753235,-0.8678976893424988,-0.875
3,2,-1.0020861625671387,,-1.5
4,0,,-0.7388943433761597,0.0
4,1,-0.8664909601211548,-0.8239361643791199,-0.611111111111111
4,2,-1.0815551280975342,-0.9660155177116394,-1.1111111111111112
4,3,-0.9645047783851624,,-1.5
5,0,,-0.7125417590141296,0.0
5,1,-0.8540907502174377,-0.8202826976776123,-0.46875
5,2,-1.0247687101364136,-0.9779118895530701,-0.875
5,3,-1.03889799118042,-0.972227931022644,-1.21875
5,4,-0.8790692090988159,,-1.5
6,0,,-0.6979907155036926,0.0
6,1,-0.8644723296165466,-0.855647623538971,-0.38
6,2,-0.8122274279594421,-0.8126871585845947,-0.72
6,3,-1.084357500076294,-1.0296592712402344,-1.02
6,4,-1.0713974237442017,-0.9842169880867004,-1.28
6,5,-0.8568986654281616,,-1.5
7,0,,-0.6722533106803894,0.0
7,1,-0.8659816384315491,-0.845879852771759,-0.3194444444444444
7,2,-0.7073197960853577,-0.6986883282661438,-0.611111111111111
7,3,-1.1569781303405762,-1.1222413778305054,-0.875
7,4,-1.0324618816375732,-0.9858290553092957,-1.1111111111111112
7,5,-0.9567170143127441,-0.887771487236023,-1.3194444444444444
7,6,-0.8758970499038696,,-1.5
8,0,,-0.6287207007408142,0.0
8,1,-0.8739235997200012,-0.8517048358917236,-0.2755102040816326
8,2,-0.8777340650558472,-0.8755999207496643,-0.5306122448979591
8,3,-0.8123012185096741,-0.8136749267578125,-0.7653061224489796
8,4,-1.1405205726623535,-1.1335681676864624,-0.9795918367346939
8,5,-0.9296634197235107,-0.8659892678260803,-1.1734693877551021
8,6,-0.9776961803436279,-0.9090778827667236,-1.346938775510204
8,7,-0.8473753929138184,,-1.5
9,0,,-0.5819300413131714,0.0
9,1,-0.9606326222419739,-0.940475583076477,-0.2421875
9,2,-0.8182199597358704,-0.8123293519020081,-0.46875
9,3,-0.6242425441741943,-0.6221855282783508,-0.6796875
9,4,-1.1841213703155518,-1.1620657444000244,-0.875
9,5,-1.0188078880310059,-0.9949591159820557,-1.0546875
9,6,-0.9919370412826538,-0.9620984792709351,-1.21875
9,7,-0.9871820211410522,-0.8923403024673462,-1.3671875
9,8,-0.8331494331359863,,-1.5
10,0,,-0.4816858768463135,0.0
10,1,-0.9681200981140137,-0.9452621936798096,-0.21604938271604937
10,2,-0.8323323130607605,-0.8331198692321777,-0.41975308641975306
10,3,-0.8375284671783447,-0.819038987159729,-0.611111111111111
10,4,-0.8760510087013245,-0.8654693365097046,-0.7901234567901234
10,5,-1.0927461385726929,-1.09038507938385,-0.9567901234567902
10,6,-1.0620194673538208,-1.0329368114471436,-1.1111111111111112
10,7,-1.0041810274124146,-0.9810727834701538,-1.2530864197530864
10,8,-0.9660780429840088,-0.8473495244979858,-1.382716049382716
10,9,-0.7277898192405701,,-1.5
11,0,,-0.4586479961872101,0.0
11,1,-0.9276654720306396,-0.917787492275238,-0.195
11,2,-0.9270393252372742,-0.9184017181396484,-0.38
