N_DISC,T,estimated_epo,CI_lower_bound,CI_upper_bound
2,0.34834182262420654,0.4035887,0.40245679020881653,0.40464335680007935
2,0.6826078295707703,0.5658914,0.5647367238998413,0.567047119140625
3,0.2920587956905365,0.42315534,0.42223477363586426,0.42406773567199707
3,0.5085564851760864,0.4821295,0.4812132716178894,0.48301297426223755
3,0.7458091974258423,0.5600121,0.5589807629585266,0.560996413230896
4,0.26049181818962097,0.43567005,0.43482550978660583,0.43656274676322937
4,0.4361918568611145,0.46300328,0.462144672870636,0.4638427495956421
4,0.5814675092697144,0.5055607,0.5047329664230347,0.5064025521278381
4,0.7837480306625366,0.56058383,0.5596202611923218,0.5615333318710327
5,0.23922111093997955,0.42980817,0.4289615750312805,0.4306483864784241
5,0.3917725086212158,0.46211585,0.4612956941127777,0.462904155254364
5,0.5082050561904907,0.4863377,0.48548969626426697,0.4871695637702942
5,0.6282829642295837,0.51445925,0.5136875510215759,0.5152879357337952
5,0.8098924160003662,0.5595189,0.5585578680038452,0.5604260563850403
6,0.22328437864780426,0.4285346,0.4277125597000122,0.42936378717422485
6,0.3608332574367523,0.45732728,0.4565160870552063,0.4581044316291809
6,0.460907906293869,0.4735381,0.4727399945259094,0.4743421971797943
6,0.5562050938606262,0.49844152,0.4976242482662201,0.49926844239234924
6,0.6623777747154236,0.52173644,0.5209401249885559,0.5225234031677246
6,0.8292404413223267,0.5676895,0.5667675137519836,0.5685926675796509
7,0.21061092615127563,0.4323366,0.43153616786003113,0.4331434965133667
7,0.3383338749408722,0.46022066,0.4594345986843109,0.4609798789024353
7,0.4264410138130188,0.46512774,0.464326411485672,0.46593451499938965
7,0.5080791115760803,0.4873391,0.48652344942092896,0.48813286423683167
7,0.5915462374687195,0.50535077,0.5045448541641235,0.5061219334602356
7,0.6889492273330688,0.52761686,0.5268551111221313,0.528427243232727
7,0.8443599939346313,0.5735232,0.5725364685058594,0.5744357109069824
8,0.20023739337921143,0.42358762,0.42280638217926025,0.42437660694122314
8,0.3207462430000305,0.46460298,0.4638320803642273,0.4653601050376892
8,0.39960917830467224,0.46372643,0.4629274606704712,0.4645264744758606
8,0.4727745056152344,0.47649118,0.4757111072540283,0.47727471590042114
