N_DISC,T,estimated_epo,CI_lower_bound,CI_upper_bound
2,0.0,0.40086302,0.3997582793235779,0.4019226133823395
2,1.0,0.56333977,0.5621634721755981,0.5644872188568115
3,0.0,0.3345034,0.3332701027393341,0.33576831221580505
3,0.5,0.48731333,0.4864629805088043,0.4881768822669983
3,1.0,0.6355054,0.6340684294700623,0.636881411075592
4,0.0,0.29173145,0.290314257144928,0.2931666672229767
4,0.3333333333333333,0.4883974,0.48760560154914856,0.48919668793678284
4,0.6666666666666666,0.48337898,0.48254114389419556,0.4842468500137329
4,1.0,0.6850197,0.683466911315918,0.6866085529327393
5,0.0,0.3411602,0.3395055830478668,0.34287017583847046
5,0.25,0.47542477,0.4745733439922333,0.4762186110019684
5,0.5,0.48824817,0.48749399185180664,0.48894205689430237
5,0.75,0.49282056,0.4919247329235077,0.4937158226966858
5,1.0,0.7185532,0.7169628739356995,0.7201806306838989
6,0.0,0.36630878,0.36459752917289734,0.3679826855659485
6,0.2,0.4462347,0.4452917277812958,0.4471258819103241
6,0.4,0.49197835,0.4912561774253845,0.4926515817642212
6,0.6000000000000001,0.48566294,0.48493528366088867,0.4863801896572113
6,0.8,0.51232445,0.5114151835441589,0.513274610042572
6,1.0,0.73717934,0.7355018854141235,0.7388246059417725
7,0.0,0.381627,0.3798374533653259,0.3834397792816162
7,0.16666666666666666,0.40900764,0.40801167488098145,0.4099859297275543
7,0.3333333333333333,0.4911445,0.49044269323349,0.49185046553611755
7,0.5,0.48919466,0.4884679615497589,0.4898951053619385
7,0.6666666666666666,0.48265573,0.48189419507980347,0.48340117931365967
7,0.8333333333333333,0.53876406,0.5377696752548218,0.5397542715072632
7,1.0,0.7665918,0.7648535370826721,0.7683491706848145
8,0.0,0.36869767,0.3669838309288025,0.37047410011291504
8,0.14285714285714285,0.37506214,0.37397128343582153,0.3760848343372345
8,0.2857142857142857,0.4869198,0.48617735505104065,0.4876701831817627
8,0.42857142857142855,0.48862004,0.48794975876808167,0.48930618166923523
8,0.5714285714285714,0.4877625,0.4870574176311493,0.48844966292381287
8,0.7142857142857142,0.48718745,0.4863986670970917,0.48798835277557373
8,0.8571428571428571,0.5674136,0.5663963556289673,0.5684212446212769
8,1.0,0.79506415,0.7934005856513977,0.7967706322669983
9,0.0,0.3794667,0.37763258814811707,0.38134095072746277
9,0.125,0.3540334,0.3528086543083191,0.3552432358264923
9,0.25,0.46988437,0.4690999984741211,0.4706793427467346
9,0.375,0.4951382,0.4944559335708618,0.49582451581954956
9,0.5,0.48871934,0.4880391061306,0.48939040303230286
9,0.625,0.48291367,0.48220908641815186,0.48362573981285095
9,0.75,0.4943417,0.4934932589530945,0.49517813324928284
9,0.875,0.5793905,0.5783801078796387,0.5803881287574768
9,1.0,0.824901,0.8231452703475952,0.8266226649284363
10,0.0,0.37242258,0.3705429434776306,0.37422680854797363
10,0.1111111111111111,0.35592267,0.3546104431152344,0.35725826025009155
10,0.2222222222222222,0.44638285,0.44555217027664185,0.44721901416778564
10,0.3333333333333333,0.4975039,0.4968567490577698,0.4981977939605713
10,0.4444444444444444,0.4858222,0.48514267802238464,0.4865083396434784
10,0.5555555555555556,0.48930869,0.48861268162727356,0.48997917771339417
10,0.6666666666666666,0.4839333,0.48316675424575806,0.4846738278865814
10,0.7777777777777777,0.5032542,0.5023746490478516,0.5041496753692627
10,0.8888888888888888,0.5961164,0.5950687527656555,0.5971528887748718
10,1.0,0.8382226,0.8365188837051392,0.8400020003318787
11,0.0,0.37100536,0.36922162771224976,0.372911274433136
11,0.1,0.34313768,0.3417969048023224,0.34449297189712524
11,0.2,0.4293603,0.42848190665245056,0.4302682876586914
11,0.30000000000000004,0.4876179,0.4869089722633362,0.48831743001937866
11,0.4,0.4890634,0.48839667439460754,0.4897227883338928
11,0.5,0.48921984,0.48857250809669495,0.4898940324783325
11,0.6000000000000001,0.48429352,0.48357582092285156,0.484946608543396
11,0.7000000000000001,0.49007615,0.48927041888237,0.4908301830291748
11,0.8,0.5155307,0.5146012306213379,0.5164049863815308
11,0.9,0.6197247,0.6186527609825134,0.6208052635192871
11,1.0,0.856195,0.8544332981109619,0.8578798770904541
12,0.0,0.37810344,0.3761017620563507,0.38011032342910767
12,0.09090909090909091,0.3468024,0.34535449743270874,0.34824007749557495
12,0.18181818181818182,0.40881345,0.40790456533432007,0.4097100496292114
12,0.2727272727272727,0.47497222,0.4741990864276886,0.4757189452648163
12,0.36363636363636365,0.4940322,0.4933643341064453,0.4947173595428467
12,0.4545454545454546,0.48698577,0.48631590604782104,0.48765453696250916
12,0.5454545454545454,0.490602,0.4899192452430725,0.49128028750419617
12,0.6363636363636364,0.48384553,0.4831238389015198,0.48456233739852905
12,0.7272727272727273,0.49155217,0.4907359182834625,0.49236559867858887
12,0.8181818181818182,0.5346237,0.5336596965789795,0.5355023145675659
12,0.9090909090909092,0.6343167,0.6332693099975586,0.6354071497917175
12,1.0,0.8672971,0.8655242323875427,0.8690699934959412
13,0.0,0.37821707,0.37619614601135254,0.3801600933074951
13,0.08333333333333333,0.3612391,0.3597980737686157,0.3626927137374878
13,0.16666666666666666,0.40000558,0.39903414249420166,0.40098506212234497
13,0.25,0.4609016,0.46010488271713257,0.46170496940612793
13,0.3333333333333333,0.49576044,0.4950827360153198,0.49644121527671814
13,0.41666666666666663,0.48547515,0.48479506373405457,0.48614922165870667
13,0.5,0.4913557,0.4906946122646332,0.49202823638916016
13,0.5833333333333333,0.48544943,0.48477017879486084,0.4861278533935547
13,0.6666666666666666,0.48202682,0.4812617599964142,0.48279446363449097
13,0.75,0.49806654,0.49723926186561584,0.4988783299922943
13,0.8333333333333333,0.54979664,0.5489009618759155,0.5507066249847412
13,0.9166666666666666,0.648043,0.6469565033912659,0.6491471529006958
13,1.0,0.8675563,0.8658480048179626,0.869279146194458
14,0.0,0.40425766,0.40226930379867554,0.4062943458557129
14,0.07692307692307693,0.3483947,0.34696975350379944,0.34979596734046936
14,0.15384615384615385,0.3747831,0.3736807405948639,0.3757830262184143
14,0.23076923076923078,0.4500744,0.4492350220680237,0.45088809728622437
14,0.3076923076923077,0.4886492,0.4879372715950012,0.48933151364326477
14,0.38461538461538464,0.48861158,0.4879601299762726,0.4892919659614563
14,0.46153846153846156,0.48663542,0.4859582781791687,0.4872961640357971
14,0.5384615384615385,0.49343252,0.49276846647262573,0.49411553144454956
14,0.6153846153846154,0.47967958,0.47897759079933167,0.48035183548927307
14,0.6923076923076923,0.49079275,0.49000489711761475,0.4915632903575897
14,0.7692307692307693,0.4995166,0.49866485595703125,0.5003762245178223
14,0.8461538461538463,0.55610836,0.5551701784133911,0.5570662617683411
14,0.9230769230769231,0.6512769,0.6501623392105103,0.6523755788803101
14,1.0,0.87150407,0.869841456413269,0.8732001781463623
15,0.0,0.4035119,0.4014991521835327,0.405441015958786
15,0.07142857142857142,0.3553439,0.35391098260879517,0.3567538559436798
15,0.14285714285714285,0.38090733,0.37979158759117126,0.3820136487483978
15,0.21428571428571427,0.43546453,0.4346005618572235,0.43633365631103516
15,0.2857142857142857,0.4794633,0.47874751687049866,0.48017746210098267
15,0.3571428571428571,0.49688655,0.4962136447429657,0.49757030606269836
15,0.42857142857142855,0.4816723,0.4810015559196472,0.48234936594963074
15,0.5,0.49376386,0.49310386180877686,0.4944414794445038
15,0.5714285714285714,0.48477024,0.48408403992652893,0.4854472577571869
15,0.6428571428571428,0.4830432,0.48230674862861633,0.4837607741355896
15,0.7142857142857142,0.49197245,0.49118441343307495,0.4927505850791931
15,0.7857142857142857,0.50919855,0.508308470249176,0.5100693702697754
15,0.8571428571428571,0.5699494,0.5689814686775208,0.570885419845581
15,0.9285714285714285,0.6603834,0.6592640280723572,0.6615092158317566
15,1.0,0.89187044,0.8902072906494141,0.8935409784317017
16,0.0,0.40282005,0.4008182883262634,0.40488436818122864
16,0.06666666666666667,0.36472067,0.36324214935302734,0.36625441908836365
16,0.13333333333333333,0.36478665,0.3636511564254761,0.36595362424850464
16,0.2,0.42951494,0.42863965034484863,0.430380254983902
16,0.26666666666666666,0.46778455,0.4670073986053467,0.46853023767471313
16,0.3333333333333333,0.4959382,0.495262086391449,0.4966106712818146
16,0.4,0.4853055,0.48465079069137573,0.4859864115715027
16,0.4666666666666667,0.48514304,0.48447173833847046,0.4858270287513733
16,0.5333333333333333,0.4946422,0.49396318197250366,0.4953058958053589
16,0.6,0.47931072,0.47864484786987305,0.4800167679786682
16,0.6666666666666666,0.4879304,0.4871816635131836,0.4886781573295593
16,0.7333333333333333,0.49093783,0.4901430606842041,0.49172255396842957
16,0.8,0.5223178,0.5214428305625916,0.5231814384460449
16,0.8666666666666667,0.5800323,0.5790590047836304,0.5810053944587708
16,0.9333333333333333,0.6677228,0.6665617227554321,0.6688926219940186
16,1.0,0.8938337,0.8921316266059875,0.895501434803009
17,0.0,0.4026507,0.4005739092826843,0.40481773018836975
17,0.0625,0.37911856,0.37767380475997925,0.38060757517814636
17,0.125,0.33566105,0.3344944715499878,0.33683034777641296
17,0.1875,0.42318097,0.4223037660121918,0.42405033111572266
17,0.25,0.45530784,0.4544832110404968,0.4560989737510681
17,0.3125,0.49186718,0.4911884665489197,0.49254703521728516
17,0.375,0.49069664,0.4900241494178772,0.4913163185119629
17,0.4375,0.4820169,0.48135456442832947,0.4826870262622833
17,0.5,0.49390435,0.4932284355163574,0.4945979714393616
17,0.5625,0.48578185,0.48508214950561523,0.4864274859428406
17,0.625,0.4821332,0.48145920038223267,0.48281222581863403
17,0.6875,0.49081492,0.4900374412536621,0.4915429353713989
17,0.75,0.48946095,0.48863014578819275,0.4902613162994385
17,0.8125,0.5378549,0.5369743704795837,0.5387353301048279
17,0.875,0.59554726,0.5945724248886108,0.5965443849563599
17,0.9375,0.67116463,0.670020341873169,0.6723178625106812
17,1.0,0.8995787,0.8978008031845093,0.9012507200241089
18,0.0,0.35573453,0.35381048917770386,0.35767021775245667
18,0.058823529411764705,0.38706875,0.38558244705200195,0.38853690028190613
18,0.11764705882352941,0.3374157,0.33618906140327454,0.3387123644351959
18,0.1764705882352941,0.4092085,0.40830549597740173,0.4101588726043701
18,0.23529411764705882,0.4483928,0.4476091265678406,0.44920605421066284
18,0.29411764705882354,0.47849336,0.4777732491493225,0.4792034924030304
18,0.3529411764705882,0.4977761,0.4971122741699219,0.4984286427497864
18,0.4117647058823529,0.4853064,0.4846605062484741,0.48599645495414734
