N_DISC,T,estimated_epo,CI_lower_bound,CI_upper_bound
2,0.0,4.67067,4.632332801818848,4.709461212158203
2,1.0,5.260951,5.220257759094238,5.300162315368652
3,0.0,4.4748945,4.416803359985352,4.530426502227783
3,0.5,4.961767,4.932676315307617,4.989771842956543
3,1.0,5.615671,5.550474166870117,5.679982662200928
4,0.0,3.5219011,3.4384353160858154,3.605797290802002
4,0.3333333333333333,4.5586996,4.528852939605713,4.5867767333984375
4,0.6666666666666666,5.3715873,5.342258453369141,5.4017205238342285
4,1.0,4.6663284,4.584986686706543,4.749587059020996
5,0.0,3.0635056,2.9675607681274414,3.1622817516326904
5,0.25,4.36207,4.32656192779541,4.399256706237793
5,0.5,4.8989034,4.874947547912598,4.922257423400879
5,0.75,5.665281,5.6290388107299805,5.701064109802246
5,1.0,5.023624,4.922856330871582,5.121230125427246
6,0.0,3.3439445,3.2404944896698,3.4488303661346436
6,0.2,4.2472034,4.206393718719482,4.286439895629883
6,0.4,4.596702,4.571425914764404,4.622274875640869
6,0.6000000000000001,5.2715697,5.246133327484131,5.297818183898926
6,0.8,5.6745667,5.63422966003418,5.71617317199707
6,1.0,5.9237914,5.8112006187438965,6.038053512573242
7,0.0,3.1464233,3.019686222076416,3.274475336074829
7,0.16666666666666666,4.237857,4.194821357727051,4.278439998626709
7,0.3333333333333333,4.4465165,4.417187213897705,4.4746198654174805
7,0.5,4.9609113,4.938282012939453,4.984696388244629
7,0.6666666666666666,5.3356204,5.308320999145508,5.3626909255981445
7,0.8333333333333333,5.7719,5.727064609527588,5.816829681396484
7,1.0,5.8063245,5.669982433319092,5.942590713500977
8,0.0,1.0619442,0.971042811870575,1.1498240232467651
8,0.14285714285714285,4.069693,4.026552200317383,4.113489151000977
8,0.2857142857142857,4.163568,4.129725456237793,4.197759628295898
8,0.42857142857142855,4.7286005,4.705849647521973,4.751706123352051
8,0.5714285714285714,5.143325,5.120721817016602,5.167194843292236
8,0.7142857142857142,5.615273,5.583221435546875,5.648881912231445
8,0.8571428571428571,5.989534,5.943632125854492,6.038173675537109
8,1.0,6.1389914,5.98655366897583,6.297887802124023
9,0.0,-1.5098964,-1.5234878063201904,-1.4958640336990356
9,0.125,4.0099936,3.961949110031128,4.060163974761963
9,0.25,4.182254,4.146594047546387,4.216099262237549
9,0.375,4.5135007,4.488199710845947,4.5399322509765625
9,0.5,4.9507346,4.927105903625488,4.973599910736084
9,0.625,5.2796974,5.2552385330200195,5.304131031036377
9,0.75,5.6684732,5.632986545562744,5.704441547393799
9,0.875,5.542447,5.4933671951293945,5.589949607849121
9,1.0,6.758541,6.56813907623291,6.957469463348389
10,0.0,-1.5027316,-1.5196654796600342,-1.4846725463867188
10,0.1111111111111111,3.6009254,3.5393660068511963,3.658585548400879
10,0.2222222222222222,4.228938,4.193938255310059,4.265427589416504
10,0.3333333333333333,4.4081507,4.379512310028076,4.437250137329102
10,0.4444444444444444,4.695699,4.673257827758789,4.718670845031738
10,0.5555555555555556,5.013971,4.99052095413208,5.036362648010254
10,0.6666666666666666,5.630973,5.603824615478516,5.659485340118408
10,0.7777777777777777,5.8779583,5.840620040893555,5.915597915649414
10,0.8888888888888888,4.688496,4.630784034729004,4.743251800537109
10,1.0,11.646923,11.63686752319336,11.657920837402344
11,0.0,-1.4868219,-1.5036722421646118,-1.469346046447754
11,0.1,4.226659,4.165213584899902,4.286427974700928
11,0.2,4.1692743,4.132264137268066,4.207054138183594
11,0.30000000000000004,3.9987965,3.9670028686523438,4.030539512634277
11,0.4,4.7329264,4.708667755126953,4.756520748138428
11,0.5,4.978675,4.955883502960205,5.001218795776367
11,0.6000000000000001,5.1699033,5.146197319030762,5.192567348480225
11,0.7000000000000001,5.4738374,5.443167686462402,5.504251003265381
11,0.8,5.9384546,5.899604797363281,5.9784770011901855
11,0.9,5.1530056,5.091370105743408,5.215774059295654
11,1.0,11.651784,11.642082214355469,11.661930084228516
12,0.0,-1.484592,-1.5014710426330566,-1.468316674232483
12,0.09090909090909091,3.9912543,3.9272620677948,4.054409503936768
12,0.18181818181818182,4.1998215,4.162045001983643,4.237227439880371
12,0.2727272727272727,4.2994547,4.266279220581055,4.330273628234863
12,0.36363636363636365,4.452367,4.426438331604004,4.477960586547852
12,0.4545454545454546,4.693683,4.6714043617248535,4.715430736541748
12,0.5454545454545454,5.168404,5.1455583572387695,5.19219446182251
12,0.6363636363636364,5.407601,5.3822221755981445,5.432183742523193
12,0.7272727272727273,5.3762603,5.343770980834961,5.407812595367432
12,0.8181818181818182,6.080089,6.039388179779053,6.120785236358643
12,0.9090909090909092,5.3038673,5.238674640655518,5.369051933288574
12,1.0,11.631975,11.622306823730469,11.642044067382812
13,0.0,-1.5123366,-1.5283435583114624,-1.4955313205718994
13,0.08333333333333333,3.600674,3.533419609069824,3.6667280197143555
13,0.16666666666666666,3.9226677,3.881241798400879,3.964404344558716
13,0.25,4.30426,4.271942615509033,4.338204383850098
13,0.3333333333333333,4.3853354,4.357128620147705,4.415085315704346
13,0.41666666666666663,4.555708,4.531761169433594,4.579347610473633
13,0.5,5.0433764,5.020615100860596,5.0661940574646
13,0.5833333333333333,5.003901,4.980325698852539,5.026739120483398
13,0.6666666666666666,5.6015115,5.573385238647461,5.627880096435547
13,0.75,5.503275,5.46922492980957,5.537613391876221
13,0.8333333333333333,6.2667804,6.224238395690918,6.308603286743164
13,0.9166666666666666,5.023044,4.958658218383789,5.086760520935059
13,1.0,11.650327,11.647244453430176,11.653651237487793
14,0.0,-1.4995594,-1.5160824060440063,-1.483264684677124
14,0.07692307692307693,4.574337,4.504367828369141,4.647386074066162
14,0.15384615384615385,3.9287431,3.8840508460998535,3.9734647274017334
14,0.23076923076923078,4.275695,4.242159366607666,4.310826301574707
14,0.3076923076923077,4.0989046,4.06749963760376,4.128701210021973
14,0.38461538461538464,4.5903635,4.56732177734375,4.6151299476623535
14,0.46153846153846156,4.738845,4.717565059661865,4.760778427124023
14,0.5384615384615385,5.1399264,5.115784168243408,5.164032459259033
14,0.6153846153846154,5.222581,5.200595378875732,5.244433879852295
14,0.6923076923076923,5.600213,5.570490837097168,5.629021644592285
14,0.7692307692307693,5.7493367,5.711944103240967,5.784051418304443
14,0.8461538461538463,5.5868526,5.541579246520996,5.632167816162109
14,0.9230769230769231,5.3355703,5.279562950134277,5.390598297119141
14,1.0,11.647676,11.644573211669922,11.65105152130127
15,0.0,-1.4997765,-1.5161848068237305,-1.4845035076141357
15,0.07142857142857142,4.5475416,4.477245330810547,4.61430549621582
15,0.14285714285714285,3.7220707,3.675562620162964,3.769603967666626
15,0.21428571428571427,4.357967,4.324768543243408,4.39223051071167
15,0.2857142857142857,4.260108,4.230479717254639,4.2885026931762695
15,0.3571428571428571,4.390514,4.364450931549072,4.416639804840088
15,0.42857142857142855,4.6273704,4.604387283325195,4.6508259773254395
15,0.5,4.9689984,4.94639778137207,4.990782737731934
15,0.5714285714285714,4.970958,4.948099136352539,4.9930620193481445
15,0.6428571428571428,5.713052,5.686949253082275,5.738647937774658
15,0.7142857142857142,5.270289,5.242912769317627,5.2996625900268555
15,0.7857142857142857,5.920907,5.88521671295166,5.9558587074279785
15,0.8571428571428571,5.4577823,5.409595012664795,5.504765033721924
15,0.9285714285714285,5.483607,5.418740272521973,5.55311393737793
15,1.0,11.646395,11.643350601196289,11.649580001831055
16,0.0,-1.4982703,-1.5134713649749756,-1.4823248386383057
16,0.06666666666666667,4.5429373,4.478580474853516,4.609737873077393
16,0.13333333333333333,3.3506777,3.295909881591797,3.40756893157959
16,0.2,3.9577641,3.9284002780914307,3.9874427318573
16,0.26666666666666666,4.429827,4.399759292602539,4.459745407104492
16,0.3333333333333333,4.273907,4.246077537536621,4.302121639251709
16,0.4,4.5873923,4.564034461975098,4.611196517944336
16,0.4666666666666667,4.7398987,4.717393398284912,4.761431694030762
16,0.5333333333333333,5.2041655,5.18009090423584,5.227849006652832
16,0.6,5.0049944,4.982233047485352,5.0271477699279785
16,0.6666666666666666,5.65408,5.6261210441589355,5.681604385375977
16,0.7333333333333333,5.566638,5.538727760314941,5.594172954559326
16,0.8,6.3333325,6.29710054397583,6.371386528015137
16,0.8666666666666667,4.4250364,4.375448226928711,4.47902250289917
16,0.9333333333333333,5.5656047,5.490822792053223,5.646942138671875
16,1.0,11.647122,11.644216537475586,11.650291442871094
17,0.0,-1.4729846,-1.488715648651123,-1.4576594829559326
17,0.0625,4.484081,4.412024974822998,4.554261684417725
17,0.125,3.8181672,3.7606723308563232,3.8742806911468506
17,0.1875,3.9461527,3.9127578735351562,3.9798402786254883
17,0.25,4.1204414,4.087222576141357,4.154111862182617
17,0.3125,4.071262,4.042158126831055,4.099542140960693
17,0.375,4.680895,4.6570281982421875,4.7053422927856445
17,0.4375,4.623787,4.6000213623046875,4.64634895324707
17,0.5,4.964956,4.943147659301758,4.987621307373047
17,0.5625,5.079115,5.05721378326416,5.1015729904174805
17,0.625,5.3159313,5.292466640472412,5.339874267578125
17,0.6875,5.584629,5.55587100982666,5.612241744995117
17,0.75,5.312852,5.2794575691223145,5.343837738037109
17,0.8125,6.4604483,6.423192501068115,6.498052597045898
17,0.875,4.5860486,4.533371925354004,4.643941879272461
17,0.9375,5.5602007,5.480420112609863,5.636907577514648
17,1.0,11.644814,11.64199161529541,11.647866249084473
18,0.0,-1.4688269,-1.4840635061264038,-1.4539761543273926
18,0.058823529411764705,4.5310388,4.462830543518066,4.599474906921387
18,0.11764705882352941,4.3929715,4.321527481079102,4.460842609405518
18,0.1764705882352941,3.6308634,3.5939040184020996,3.668360948562622
18,0.23529411764705882,4.443294,4.409585475921631,4.476962089538574
18,0.29411764705882354,4.278765,4.25227165222168,4.304531574249268
18,0.3529411764705882,4.4030504,4.377528190612793,4.43002986907959
18,0.4117647058823529,4.51555,4.492329120635986,4.539577484130859
18,0.47058823529411764,4.7778335,4.756955623626709,4.8008856773376465
18,0.5294117647058824,5.2132573,5.190215110778809,5.235683441162109
18,0.5882352941176471,4.85393,4.831681728363037,4.876015663146973
18,0.6470588235294118,5.8680325,5.843443870544434,5.892922401428223
18,0.7058823529411764,5.3694777,5.343269348144531,5.396364212036133
18,0.7647058823529411,5.5237236,5.4879865646362305,5.55754280090332
18,0.8235294117647058,6.3386183,6.302261829376221,6.375768184661865
18,0.8823529411764706,4.986037,4.919680118560791,5.0522074699401855
18,0.9411764705882353,5.525198,5.4477219581604,5.601054668426514
18,1.0,11.641919,11.638982772827148,11.644777297973633
19,0.0,-1.4705414,-1.4854724407196045,-1.4556303024291992
19,0.05555555555555555,4.7236795,4.646295070648193,4.8086395263671875
19,0.1111111111111111,4.536718,4.469729423522949,4.6028618812561035
19,0.16666666666666666,3.6318712,3.591904401779175,3.674288749694824
19,0.2222222222222222,4.3385825,4.304994106292725,4.372340202331543
19,0.2777777777777778,4.342788,4.315121650695801,4.36909294128418
19,0.3333333333333333,4.106785,4.078518390655518,4.135785102844238
19,0.38888888888888884,4.6580787,4.63483190536499,4.6808319091796875
19,0.4444444444444444,4.6699376,4.647341251373291,4.691659927368164
19,0.5,4.924164,4.901463508605957,4.946635723114014
19,0.5555555555555556,5.2571154,5.2344536781311035,5.2808837890625
19,0.611111111111111,5.049505,5.02944278717041,5.071137428283691
19,0.6666666666666666,5.5314045,5.504786491394043,5.557334899902344
19,0.7222222222222222,5.640033,5.611907005310059,5.66815710067749
19,0.7777777777777777,5.905641,5.870621681213379,5.9397101402282715
19,0.8333333333333333,5.8605294,5.8211212158203125,5.899374961853027
19,0.8888888888888888,5.377801,5.315776824951172,5.441107273101807
19,0.9444444444444444,5.4367733,5.342637062072754,5.534944534301758
19,1.0,11.64184,11.63892650604248,11.644747734069824
20,0.0,-1.4614744,-1.4767650365829468,-1.446714997291565
20,0.05263157894736842,4.7863784,4.705376625061035,4.868765354156494
20,0.10526315789473684,3.9503245,3.890110731124878,4.010138511657715
20,0.15789473684210525,3.930934,3.8869400024414062,3.9759368896484375
20,0.21052631578947367,3.7880702,3.7561986446380615,3.819606065750122
20,0.2631578947368421,4.4517465,4.421657562255859,4.4827561378479
20,0.3157894736842105,3.861574,3.8343124389648438,3.8898491859436035
20,0.3684210526315789,4.8203144,4.796163082122803,4.84495735168457
20,0.42105263157894735,4.5970526,4.574571132659912,4.619198799133301
20,0.47368421052631576,4.6801205,4.658613681793213,4.701573371887207
20,0.5263157894736842,5.235798,5.212784767150879,5.258407115936279
20,0.5789473684210527,4.842268,4.820568561553955,4.86403751373291
20,0.631578947368421,5.4784374,5.453714370727539,5.502485275268555
20,0.6842105263157894,5.528202,5.500242710113525,5.555518627166748
20,0.7368421052631579,5.613912,5.5866379737854,5.6420369148254395
20,0.7894736842105263,6.1560655,6.120131492614746,6.192295074462891
20,0.8421052631578947,5.804191,5.7607421875,5.8472676277160645
20,0.894736842105263,5.0999465,5.042781352996826,5.157824516296387
20,0.9473684210526315,5.653764,5.550128936767578,5.757314682006836
20,1.0,11.641029,11.63815975189209,11.643941879272461
21,0.0,-1.45906,-1.4741235971450806,-1.444191336631775
21,0.05,4.777486,4.699562072753906,4.856330394744873
21,0.1,3.0316389,2.970014810562134,3.096952438354492
21,0.15000000000000002,3.7886848,3.743351697921753,3.832282066345215
21,0.2,4.2009726,4.170587539672852,4.23369836807251
21,0.25,4.4430723,4.409761428833008,4.476015090942383
21,0.30000000000000004,4.3110595,4.285513877868652,4.336835861206055
21,0.35000000000000003,4.427768,4.400017261505127,4.4549560546875
21,0.4,4.420533,4.397320747375488,4.444609642028809
21,0.45,4.715131,4.693393707275391,4.737475395202637
21,0.5,4.949946,4.928713321685791,4.972041606903076
21,0.55,5.140607,5.116230010986328,5.16502046585083
21,0.6000000000000001,5.052169,5.031513214111328,5.073072910308838
21,0.65,5.8148327,5.78974723815918,5.83987283706665
21,0.7000000000000001,5.2630816,5.236266136169434,5.29122257232666
21,0.75,5.3246455,5.29465389251709,5.35476541519165
21,0.8,6.5937133,6.558365345001221,6.628873348236084
21,0.8500000000000001,5.4812107,5.435251712799072,5.528848171234131
21,0.9,4.947212,4.889825344085693,5.00346040725708
21,0.9500000000000001,5.896103,5.782326698303223,6.007844924926758
21,1.0,11.639765,11.63691234588623,11.642656326293945
22,0.0,-1.4547505,-1.4694033861160278,-1.439963936805725
22,0.047619047619047616,2.972443,2.9280107021331787,3.016284227371216
22,0.09523809523809523,4.4872265,4.417161464691162,4.553667068481445
22,0.14285714285714285,3.4548252,3.397770404815674,3.5100011825561523
22,0.19047619047619047,4.1246395,4.094886779785156,4.155735015869141
22,0.23809523809523808,4.3709455,4.337867736816406,4.403575897216797
22,0.2857142857142857,4.122473,4.0967841148376465,4.148983001708984
22,0.3333333333333333,4.005069,3.9779586791992188,4.031425476074219
22,0.38095238095238093,4.8036847,4.781540393829346,4.8260345458984375
22,0.42857142857142855,4.6413565,4.6179399490356445,4.663650989532471
22,0.47619047619047616,4.7286053,4.707540512084961,4.749622821807861
22,0.5238095238095237,5.210251,5.186951160430908,5.232621192932129
22,0.5714285714285714,4.974879,4.9521942138671875,4.996598243713379
22,0.6190476190476191,5.224116,5.2017011642456055,5.246918678283691
22,0.6666666666666666,5.607615,5.58253288269043,5.633257865905762
22,0.7142857142857142,5.552668,5.525035381317139,5.579282283782959
22,0.7619047619047619,5.551603,5.5187883377075195,5.5840864181518555
22,0.8095238095238095,6.602103,6.567227840423584,6.635549545288086
22,0.8571428571428571,3.9247825,3.864051103591919,3.9851438999176025
22,0.9047619047619047,5.6059127,5.552562236785889,5.660340309143066
22,0.9523809523809523,5.305575,5.205210208892822,5.40860652923584
22,1.0,11.638883,11.636114120483398,11.641782760620117
23,0.0,-1.4591602,-1.4739238023757935,-1.4436752796173096
23,0.045454545454545456,4.285545,4.285542011260986,4.285542011260986
23,0.09090909090909091,4.4377604,4.371121406555176,4.503982067108154
23,0.13636363636363635,3.76443,3.717163562774658,3.8111605644226074
23,0.18181818181818182,3.611965,3.576673984527588,3.6478254795074463
23,0.2272727272727273,4.4253335,4.392089366912842,4.458518028259277
23,0.2727272727272727,4.236379,4.2069501876831055,4.26527738571167
23,0.3181818181818182,3.6689432,3.6429853439331055,3.696528911590576
23,0.36363636363636365,4.7739415,4.751089572906494,4.79790735244751
23,0.4090909090909091,4.5754237,4.551717758178711,4.599008083343506
23,0.4545454545454546,4.5830297,4.560662269592285,4.605860710144043
23,0.5,5.0127068,4.990085601806641,5.0343475341796875
23,0.5454545454545454,5.202135,5.178354263305664,5.226027011871338
23,0.5909090909090909,4.839324,4.8178391456604,4.860944747924805
23,0.6363636363636364,5.633443,5.610202789306641,5.656521320343018
23,0.6818181818181819,5.5375276,5.511085510253906,5.5658464431762695
23,0.7272727272727273,5.581686,5.554628372192383,5.607771873474121
23,0.7727272727272727,5.7199078,5.685748100280762,5.753371238708496
23,0.8181818181818182,6.6365933,6.604532718658447,6.667691230773926
23,0.8636363636363636,3.93573,3.880703926086426,3.991881847381592
23,0.9090909090909092,5.5203185,5.469303131103516,5.572326183319092
23,0.9545454545454546,5.549235,5.429913520812988,5.6696271896362305
23,1.0,11.638976,11.636293411254883,11.641823768615723
