N_DISC,T,estimated_epo,CI_lower_bound,CI_upper_bound
2,0.0,-0.8198656,-0.8518308997154236,-0.7878696918487549
2,1.0,-1.0209081,-1.0541151762008667,-0.9870131611824036
3,0.0,-0.35249186,-0.39653971791267395,-0.3080427646636963
3,0.5,-0.94776,-0.9712395668029785,-0.9236992001533508
3,1.0,-0.59146726,-0.6453763246536255,-0.5384186506271362
4,0.0,-0.2695229,-0.3265354335308075,-0.21285465359687805
4,0.3333333333333333,-0.87952965,-0.9016586542129517,-0.8574277758598328
4,0.6666666666666666,-0.94478035,-0.9708733558654785,-0.9172528386116028
4,1.0,-0.04244979,-0.10409927368164062,0.016723671928048134
5,0.0,-0.223811,-0.27899032831192017,-0.16788385808467865
5,0.25,-0.7670043,-0.7919907569885254,-0.7425218820571899
5,0.5,-0.93758374,-0.9579538106918335,-0.9180845022201538
5,0.75,-1.0116874,-1.0457929372787476,-0.9766370058059692
5,1.0,-0.23943469,-0.30393391847610474,-0.17606358230113983
6,0.0,-0.040567458,-0.09540124982595444,0.01450099516659975
6,0.2,-0.6586161,-0.6877753734588623,-0.6302016377449036
6,0.4,-0.92290795,-0.9422349333763123,-0.9032299518585205
6,0.6000000000000001,-0.97162473,-0.9941281080245972,-0.9491518139839172
6,0.8,-0.7803676,-0.8223479986190796,-0.7390486001968384
6,1.0,-0.009891766,-0.07864468544721603,0.056939102709293365
7,0.0,0.33142838,0.26883772015571594,0.39464208483695984
7,0.16666666666666666,-0.44545856,-0.475985050201416,-0.4141962230205536
7,0.3333333333333333,-0.86047727,-0.880778431892395,-0.8387688994407654
7,0.5,-1.0241297,-1.0427117347717285,-1.0052675008773804
7,0.6666666666666666,-1.0064102,-1.0327808856964111,-0.978984534740448
7,0.8333333333333333,-0.4539009,-0.5039230585098267,-0.4007278084754944
7,1.0,1.2302934,1.1788115501403809,1.2816681861877441
8,0.0,0.3248122,0.2643747627735138,0.3857553005218506
8,0.14285714285714285,-0.54455596,-0.5770899057388306,-0.512169599533081
8,0.2857142857142857,-0.8139411,-0.8367761373519897,-0.7917543649673462
8,0.42857142857142855,-0.946245,-0.9643732309341431,-0.9272910952568054
8,0.5714285714285714,-0.9381045,-0.9593774080276489,-0.917180597782135
8,0.7142857142857142,-0.99346596,-1.0237654447555542,-0.962288498878479
8,0.8571428571428571,-0.42317596,-0.4732475280761719,-0.3712814748287201
8,1.0,1.1810683,1.1237539052963257,1.237526535987854
9,0.0,0.63806856,0.5878583192825317,0.6885266304016113
9,0.125,-0.541637,-0.5755466222763062,-0.5071756839752197
9,0.25,-0.73164666,-0.7565579414367676,-0.7075257897377014
9,0.375,-0.78375226,-0.8036030530929565,-0.7645191550254822
9,0.5,-1.057047,-1.0752846002578735,-1.0392577648162842
9,0.625,-1.0381057,-1.0616350173950195,-1.0156593322753906
9,0.75,-0.87060595,-0.9061678647994995,-0.8353439569473267
9,0.875,-0.43529114,-0.4835672378540039,-0.3834463953971863
9,1.0,0.9512608,0.8976686000823975,1.0038121938705444
10,0.0,-0.3443187,-0.38276049494743347,-0.30260831117630005
10,0.1111111111111111,-0.3136338,-0.3534944951534271,-0.2737797796726227
10,0.2222222222222222,-0.67453295,-0.7003354430198669,-0.6471803188323975
10,0.3333333333333333,-0.8391565,-0.8591225743293762,-0.8176651000976562
10,0.4444444444444444,-1.1134118,-1.1310538053512573,-1.0956246852874756
10,0.5555555555555556,-0.9655778,-0.9846518039703369,-0.9457517862319946
10,0.6666666666666666,-0.9892416,-1.0164350271224976,-0.9622927308082581
10,0.7777777777777777,-0.84549755,-0.8837074637413025,-0.8069790601730347
10,0.8888888888888888,0.120264105,0.07339571416378021,0.16902194917201996
10,1.0,-0.942969,-0.9919090270996094,-0.8931993246078491
11,0.0,-0.27922875,-0.3227987289428711,-0.2331898808479309
11,0.1,-0.23372026,-0.27225953340530396,-0.19602040946483612
11,0.2,-0.44830576,-0.4769057631492615,-0.42070889472961426
11,0.30000000000000004,-0.9252924,-0.947090744972229,-0.9034636616706848
11,0.4,-0.8271238,-0.8472342491149902,-0.8073419332504272
11,0.5,-1.209479,-1.226743221282959,-1.1922593116760254
11,0.6000000000000001,-1.0024942,-1.0241079330444336,-0.979256808757782
11,0.7000000000000001,-1.01991,-1.04934823513031,-0.9911544322967529
11,0.8,-0.40910116,-0.452202707529068,-0.36611518263816833
11,0.9,0.04186225,-0.00720711937174201,0.09058308601379395
11,1.0,-0.8945013,-0.9440592527389526,-0.8460042476654053
12,0.0,0.25304687,0.21376654505729675,0.2897282540798187
12,0.09090909090909091,-0.26173788,-0.30451804399490356,-0.21857300400733948
12,0.18181818181818182,-0.535774,-0.565213680267334,-0.507250189781189
12,0.2727272727272727,-0.8224935,-0.846295177936554,-0.7992531657218933
12,0.36363636363636365,-0.81786656,-0.8378307223320007,-0.7982593774795532
12,0.4545454545454546,-1.1386826,-1.1559981107711792,-1.1211683750152588
12,0.5454545454545454,-0.96563417,-0.9837427139282227,-0.9473550319671631
12,0.6363636363636364,-0.99872035,-1.0239932537078857,-0.973495364189148
12,0.7272727272727273,-0.8276434,-0.8602001667022705,-0.7943946719169617
12,0.8181818181818182,-0.57081676,-0.6176037788391113,-0.5229489803314209
12,0.9090909090909092,-0.0407031,-0.09456411004066467,0.015535938553512096
