N_DISC,subinterval,EPOs,ATEs
2,0,"(-0.8198656, -1.0209081)",-0.20104252
3,0,"(-0.32617244, -0.9613952)",-0.63522273
3,1,"(-0.9341248, -0.21486181)",0.7192631
4,0,"(-0.19294891, -0.9029546)",-0.7100057
4,1,"(-0.84580183, -1.0322548)",-0.18645293
4,2,"(-0.88005894, 0.14404082)",1.0240998
5,0,"(-0.2287481, -0.7967836)",-0.56803554
5,1,"(-0.7491321, -0.9803126)",-0.23118037
5,2,"(-0.9014806, -1.054638)",-0.1531574
5,3,"(-0.8441206, -0.14595795)",0.6981627
6,0,"(-0.052835852, -0.7209562)",-0.6681203
6,1,"(-0.6501053, -0.9588365)",-0.30873117
6,2,"(-0.89675516, -1.0319638)",-0.1352087
6,3,"(-0.9021129, -0.7940872)",0.10802574
6,4,"(-0.38379437, 0.4349037)",0.81869805
7,0,"(0.2507072, -0.48600104)",-0.7367083
7,1,"(-0.47037014, -0.88148296)",-0.4111128
7,2,"(-0.84990203, -1.0792164)",-0.22931433
7,3,"(-0.98662746, -1.0327841)",-0.046156738
7,4,"(-0.88491064, -0.4681392)",0.41677147
7,5,"(0.04932444, 1.3178153)",1.2684911
8,0,"(0.25909546, -0.584231)",-0.8433265
8,1,"(-0.56622326, -0.852598)",-0.28637478
8,2,"(-0.81695014, -0.98319405)",-0.1662439
8,3,"(-0.9138831, -0.9855667)",-0.07168363
8,4,"(-0.8847163, -0.96806926)",-0.08335291
8,5,"(-0.8407928, -0.39986065)",0.44093215
8,6,"(-0.011281731, 1.5311148)",1.5423965
9,0,"(0.6669319, -0.5780934)",-1.2450252
9,1,"(-0.52845037, -0.794624)",-0.26617366
9,2,"(-0.74259067, -0.81409657)",-0.071505964
9,3,"(-0.77912056, -1.1122625)",-0.33314186
9,4,"(-1.0190977, -1.0579553)",-0.038857583
9,5,"(-0.9556006, -0.8353649)",0.120235756
9,6,"(-0.5488109, -0.4656561)",0.0831548
9,7,"(0.35592106, 1.5017048)",1.1457839
10,0,"(-0.3169264, -0.4013069)",-0.08438047
10,1,"(-0.31029898, -0.76858056)",-0.45828164
10,2,"(-0.7041979, -0.8694781)",-0.1652802
10,3,"(-0.85165215, -1.0026038)",-0.15095162
10,4,"(-0.95253193, -0.99748373)",-0.04495182
10,5,"(-0.94110376, -0.9677971)",-0.026693324
10,6,"(-0.8594732, -0.7594388)",0.10003442
10,7,"(-0.37508637, 0.6508898)",1.0259762
10,8,"(0.90394276, 0.13801248)",-0.7659303
